ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,chicory
834,United Republic of Tanzania,2,0,0,0,0,0,chicory
732,Western Sahara,3,0,0,0,0,0,chicory
124,Canada,4,0,0,0,0,0,chicory
840,United States of America,5,0,0,0,0,0,chicory
398,Kazakhstan,6,3322.1579470662336,2903.7200000000025,1742232000.0000017,5807440.000000006,31940920.00000003,chicory
860,Uzbekistan,7,7.203987326472998,0,0,0,0,chicory
598,Papua New Guinea,8,0,0,0,0,0,chicory
360,Indonesia,9,0,0,0,0,0,chicory
032,Argentina,10,31.305064870698914,0,0,0,0,chicory
152,Chile,11,14966.879854310358,0,0,0,0,chicory
180,Democratic Republic of the Congo,12,0,0,0,0,0,chicory
706,Somalia,13,0,0,0,0,0,chicory
404,Kenya,14,0,0,0,0,0,chicory
729,Sudan,15,0,0,0,0,0,chicory
148,Chad,16,0,0,0,0,0,chicory
332,Haiti,17,0,0,0,0,0,chicory
214,Dominican Republic,18,0,0,0,0,0,chicory
643,Russia,19,150.57612414389587,0,0,0,0,chicory
044,The Bahamas,20,0,0,0,0,0,chicory
238,United Kingdom,21,0,0,0,0,0,chicory
578,Norway,22,0,0,0,0,0,chicory
304,Denmark,23,0,0,0,0,0,chicory
260,France,24,0,0,0,0,0,chicory
626,East Timor,25,0,0,0,0,0,chicory
710,South Africa,26,15857.066077447496,10716.999999999898,6430199999.999939,21433999.9999998,117886999.9999989,chicory
426,Lesotho,27,10.621481835842133,0,0,0,0,chicory
484,Mexico,28,0,0,0,0,0,chicory
858,Uruguay,29,1748.1789056621492,0,0,0,0,chicory
076,Brazil,30,56.19341367913876,0,0,0,0,chicory
068,Bolivia,31,20677.20882494538,0,0,0,0,chicory
604,Peru,32,42285.40546067059,0,0,0,0,chicory
170,Colombia,33,11.373912457376719,0,0,0,0,chicory
591,Panama,34,0,0,0,0,0,chicory
188,Costa Rica,35,0,0,0,0,0,chicory
558,Nicaragua,36,0,0,0,0,0,chicory
340,Honduras,37,0,0,0,0,0,chicory
222,El Salvador,38,0,0,0,0,0,chicory
320,Guatemala,39,0,0,0,0,0,chicory
084,Belize,40,0,0,0,0,0,chicory
862,Venezuela,41,0,0,0,0,0,chicory
328,Guyana,42,0,0,0,0,0,chicory
740,Suriname,43,0,0,0,0,0,chicory
250,France,44,147397.42251429334,0,0,0,0,chicory
218,Ecuador,45,119.8868014216423,0,0,0,0,chicory
630,United States of America,46,0,0,0,0,0,chicory
388,Jamaica,47,4.813032486476004,0,0,0,0,chicory
192,Cuba,48,0,0,0,0,0,chicory
716,Zimbabwe,49,0,0,0,0,0,chicory
072,Botswana,50,7.088958292268217,0,0,0,0,chicory
516,Namibia,51,0.01940473448485136,0,0,0,0,chicory
686,Senegal,52,0,0,0,0,0,chicory
466,Mali,53,0,0,0,0,0,chicory
478,Mauritania,54,0,0,0,0,0,chicory
204,Benin,55,0,0,0,0,0,chicory
562,Niger,56,0,0,0,0,0,chicory
566,Nigeria,57,0,0,0,0,0,chicory
120,Cameroon,58,0,0,0,0,0,chicory
768,Togo,59,0,0,0,0,0,chicory
288,Ghana,60,0,0,0,0,0,chicory
384,Ivory Coast,61,0,0,0,0,0,chicory
324,Guinea,62,0,0,0,0,0,chicory
624,Guinea-Bissau,63,0,0,0,0,0,chicory
430,Liberia,64,0,0,0,0,0,chicory
694,Sierra Leone,65,0,0,0,0,0,chicory
854,Burkina Faso,66,0,0,0,0,0,chicory
140,Central African Republic,67,0,0,0,0,0,chicory
178,Republic of the Congo,68,0,0,0,0,0,chicory
266,Gabon,69,0,0,0,0,0,chicory
226,Equatorial Guinea,70,0,0,0,0,0,chicory
894,Zambia,71,0,0,0,0,0,chicory
454,Malawi,72,0,0,0,0,0,chicory
508,Mozambique,73,24.167193725705147,0,0,0,0,chicory
748,eSwatini,74,22.3125620521605,0,0,0,0,chicory
024,Angola,75,0,0,0,0,0,chicory
108,Burundi,76,0,0,0,0,0,chicory
376,Israel,77,466.4501041099429,0,0,0,0,chicory
422,Lebanon,78,0,0,0,0,0,chicory
450,Madagascar,79,0,0,0,0,0,chicory
275,Israel,80,248.9443482607603,0,0,0,0,chicory
270,Gambia,81,0,0,0,0,0,chicory
788,Tunisia,82,0,0,0,0,0,chicory
012,Algeria,83,0,0,0,0,0,chicory
400,Jordan,84,0,0,0,0,0,chicory
784,United Arab Emirates,85,0,0,0,0,0,chicory
634,Qatar,86,0,0,0,0,0,chicory
414,Kuwait,87,0,0,0,0,0,chicory
368,Iraq,88,0,0,0,0,0,chicory
512,Oman,89,0,0,0,0,0,chicory
548,Vanuatu,90,0,0,0,0,0,chicory
116,Cambodia,91,0,0,0,0,0,chicory
764,Thailand,92,0,0,0,0,0,chicory
418,Laos,93,0.007701195310801268,0,0,0,0,chicory
104,Myanmar,94,0.8027202685225348,0,0,0,0,chicory
704,Vietnam,95,2.172163922339678,0,0,0,0,chicory
408,North Korea,96,1.76661307644099,0,0,0,0,chicory
410,South Korea,97,129.29965307784732,0,0,0,0,chicory
496,Mongolia,98,0.006542214395835799,0,0,0,0,chicory
356,India,99,0.041638190811227105,0,0,0,0,chicory
050,Bangladesh,100,0,0,0,0,0,chicory
064,Bhutan,101,0.00781829678817303,0,0,0,0,chicory
524,Nepal,102,0.043352023240913695,0,0,0,0,chicory
586,Pakistan,103,0.0017676688894425752,0,0,0,0,chicory
004,Afghanistan,104,6.61887994283461e-4,0,0,0,0,chicory
762,Tajikistan,105,5.689746467396617e-4,0,0,0,0,chicory
417,Kyrgyzstan,106,6.0798149340489545,0,0,0,0,chicory
795,Turkmenistan,107,0,0,0,0,0,chicory
364,Iran,108,0,0,0,0,0,chicory
760,Syria,109,0,0,0,0,0,chicory
051,Armenia,110,0,0,0,0,0,chicory
752,Sweden,111,0,0,0,0,0,chicory
112,Belarus,112,1.7873806413263083,0,0,0,0,chicory
804,Ukraine,113,2367.470322112902,6218.269999999976,3730961999.9999857,12436539.999999953,68400969.99999975,chicory
616,Poland,114,0.4673035889863968,0,0,0,0,chicory
040,Austria,115,0,0,0,0,0,chicory
348,Hungary,116,8.094549298286438,0,0,0,0,chicory
498,Moldova,117,4.583367720246315,0,0,0,0,chicory
642,Romania,118,11786349765538653e5,0,0,0,0,chicory
440,Lithuania,119,0,0,0,0,0,chicory
428,Latvia,120,0,0,0,0,0,chicory
233,Estonia,121,0,0,0,0,0,chicory
276,Germany,122,1729.775398850441,0,0,0,0,chicory
100,Bulgaria,123,10382574974425293e5,0,0,0,0,chicory
300,Greece,124,0,0,0,0,0,chicory
792,Turkey,125,0,0,0,0,0,chicory
008,Albania,126,19615775622686573e3,0,0,0,0,chicory
191,Croatia,127,43301515625357157e5,0,0,0,0,chicory
756,Switzerland,128,158.93530535697937,0,0,0,0,chicory
442,Luxembourg,129,2538.4294652938843,0,0,0,0,chicory
056,Belgium,130,205139.55260503292,0,0,0,0,chicory
528,Netherlands,131,5098.429908752441,0,0,0,0,chicory
620,Portugal,132,3.052144128829241,0,0,0,0,chicory
724,Spain,133,6571.255508753005,0,0,0,0,chicory
372,Ireland,134,0,0,0,0,0,chicory
540,France,135,0,0,0,0,0,chicory
090,Solomon Islands,136,0,0,0,0,0,chicory
554,New Zealand,137,33.96904902669485,0,0,0,0,chicory
036,Australia,138,4.829731261944408e-38,0,0,0,0,chicory
144,Sri Lanka,139,0,0,0,0,0,chicory
156,China,140,7332.1867065047845,0,0,0,0,chicory
158,Taiwan,141,294.5602576127276,0,0,0,0,chicory
380,Italy,142,11.958588793873787,0,0,0,0,chicory
208,Denmark,143,0,0,0,0,0,chicory
826,United Kingdom,144,0,0,0,0,0,chicory
352,Iceland,145,0,0,0,0,0,chicory
031,Azerbaijan,146,0,0,0,0,0,chicory
268,Georgia,147,0,0,0,0,0,chicory
608,Philippines,148,0,0,0,0,0,chicory
458,Malaysia,149,0,0,0,0,0,chicory
096,Brunei,150,0,0,0,0,0,chicory
705,Slovenia,151,16.597546339035034,0,0,0,0,chicory
