ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,peppermint
834,United Republic of Tanzania,2,0,0,0,0,0,peppermint
732,Western Sahara,3,0,0,0,0,0,peppermint
124,Canada,4,0,0,0,0,0,peppermint
840,United States of America,5,0,0,0,0,0,peppermint
398,Kazakhstan,6,0,0,0,0,0,peppermint
860,Uzbekistan,7,0,0,0,0,0,peppermint
598,Papua New Guinea,8,0,0,0,0,0,peppermint
360,Indonesia,9,0,0,0,0,0,peppermint
032,Argentina,10,1517.6487337831581,6989.659999999998,4892761999.999999,62906939.999999985,265607079.99999994,peppermint
152,Chile,11,0.35974115940325646,0,0,0,0,peppermint
180,Democratic Republic of the Congo,12,0,0,0,0,0,peppermint
706,Somalia,13,0,0,0,0,0,peppermint
404,Kenya,14,0,0,0,0,0,peppermint
729,Sudan,15,0,0,0,0,0,peppermint
148,Chad,16,0,0,0,0,0,peppermint
332,Haiti,17,47.85602855682373,0,0,0,0,peppermint
214,Dominican Republic,18,1525.9849929530174,0,0,0,0,peppermint
643,Russia,19,0,0,0,0,0,peppermint
044,The Bahamas,20,0,0,0,0,0,peppermint
238,United Kingdom,21,0,0,0,0,0,peppermint
578,Norway,22,0,0,0,0,0,peppermint
304,Denmark,23,0,0,0,0,0,peppermint
260,France,24,0,0,0,0,0,peppermint
626,East Timor,25,0,0,0,0,0,peppermint
710,South Africa,26,0,0,0,0,0,peppermint
426,Lesotho,27,0,0,0,0,0,peppermint
484,Mexico,28,0,0,0,0,0,peppermint
858,Uruguay,29,0.06526426505297422,0,0,0,0,peppermint
076,Brazil,30,1.4435917405007785,0,0,0,0,peppermint
068,Bolivia,31,0.0969078216367052,0,0,0,0,peppermint
604,Peru,32,514.2785812420989,0,0,0,0,peppermint
170,Colombia,33,0.24388073981708658,0,0,0,0,peppermint
591,Panama,34,0,0,0,0,0,peppermint
188,Costa Rica,35,0,0,0,0,0,peppermint
558,Nicaragua,36,0,0,0,0,0,peppermint
340,Honduras,37,0.417553186416626,0,0,0,0,peppermint
222,El Salvador,38,0.5122758150100708,0,0,0,0,peppermint
320,Guatemala,39,509.78561812313274,0,0,0,0,peppermint
084,Belize,40,0.04442966170608997,0,0,0,0,peppermint
862,Venezuela,41,0,0,0,0,0,peppermint
328,Guyana,42,0,0,0,0,0,peppermint
740,Suriname,43,0,0,0,0,0,peppermint
250,France,44,0.4486568860011175,0,0,0,0,peppermint
218,Ecuador,45,209.7809248025219,0,0,0,0,peppermint
630,United States of America,46,0,0,0,0,0,peppermint
388,Jamaica,47,195.26472617685795,0,0,0,0,peppermint
192,Cuba,48,0,0,0,0,0,peppermint
716,Zimbabwe,49,0,0,0,0,0,peppermint
072,Botswana,50,0,0,0,0,0,peppermint
516,Namibia,51,0,0,0,0,0,peppermint
686,Senegal,52,0,0,0,0,0,peppermint
466,Mali,53,0,0,0,0,0,peppermint
478,Mauritania,54,0,0,0,0,0,peppermint
204,Benin,55,0,0,0,0,0,peppermint
562,Niger,56,0,0,0,0,0,peppermint
566,Nigeria,57,0,0,0,0,0,peppermint
120,Cameroon,58,0,0,0,0,0,peppermint
768,Togo,59,0,0,0,0,0,peppermint
288,Ghana,60,0,0,0,0,0,peppermint
384,Ivory Coast,61,0,0,0,0,0,peppermint
324,Guinea,62,0,0,0,0,0,peppermint
624,Guinea-Bissau,63,0,0,0,0,0,peppermint
430,Liberia,64,0,0,0,0,0,peppermint
694,Sierra Leone,65,0,0,0,0,0,peppermint
854,Burkina Faso,66,0,0,0,0,0,peppermint
140,Central African Republic,67,0,0,0,0,0,peppermint
178,Republic of the Congo,68,0,0,0,0,0,peppermint
266,Gabon,69,0,0,0,0,0,peppermint
226,Equatorial Guinea,70,0,0,0,0,0,peppermint
894,Zambia,71,0,0,0,0,0,peppermint
454,Malawi,72,0,0,0,0,0,peppermint
508,Mozambique,73,0,0,0,0,0,peppermint
748,eSwatini,74,0,0,0,0,0,peppermint
024,Angola,75,0,0,0,0,0,peppermint
108,Burundi,76,0,0,0,0,0,peppermint
376,Israel,77,0,0,0,0,0,peppermint
422,Lebanon,78,0,0,0,0,0,peppermint
450,Madagascar,79,0,0,0,0,0,peppermint
275,Israel,80,0,0,0,0,0,peppermint
270,Gambia,81,0,0,0,0,0,peppermint
788,Tunisia,82,0,0,0,0,0,peppermint
012,Algeria,83,35.02671670913696,0,0,0,0,peppermint
400,Jordan,84,0,0,0,0,0,peppermint
784,United Arab Emirates,85,0,0,0,0,0,peppermint
634,Qatar,86,0,0,0,0,0,peppermint
414,Kuwait,87,0,0,0,0,0,peppermint
368,Iraq,88,0,0,0,0,0,peppermint
512,Oman,89,0,0,0,0,0,peppermint
548,Vanuatu,90,0,0,0,0,0,peppermint
116,Cambodia,91,0,0,0,0,0,peppermint
764,Thailand,92,0,0,0,0,0,peppermint
418,Laos,93,0,0,0,0,0,peppermint
104,Myanmar,94,0,0,0,0,0,peppermint
704,Vietnam,95,0,0,0,0,0,peppermint
408,North Korea,96,0,0,0,0,0,peppermint
410,South Korea,97,0,0,0,0,0,peppermint
496,Mongolia,98,0,0,0,0,0,peppermint
356,India,99,0,0,0,0,0,peppermint
050,Bangladesh,100,0,0,0,0,0,peppermint
064,Bhutan,101,0,0,0,0,0,peppermint
524,Nepal,102,0,0,0,0,0,peppermint
586,Pakistan,103,0,0,0,0,0,peppermint
004,Afghanistan,104,0,0,0,0,0,peppermint
762,Tajikistan,105,0,0,0,0,0,peppermint
417,Kyrgyzstan,106,0,0,0,0,0,peppermint
795,Turkmenistan,107,0,0,0,0,0,peppermint
364,Iran,108,0,0,0,0,0,peppermint
760,Syria,109,0,0,0,0,0,peppermint
051,Armenia,110,0,0,0,0,0,peppermint
752,Sweden,111,0,0,0,0,0,peppermint
112,Belarus,112,0,0,0,0,0,peppermint
