ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,chestnut
834,United Republic of Tanzania,2,73025.5640218854,0,0,0,0,chestnut
732,Western Sahara,3,0,0,0,0,0,chestnut
124,Canada,4,0,0,0,0,0,chestnut
840,United States of America,5,11.647680657246383,0,0,0,0,chestnut
398,Kazakhstan,6,294.4674255917198,0,0,0,0,chestnut
860,Uzbekistan,7,0,0,0,0,0,chestnut
598,Papua New Guinea,8,0,0,0,0,0,chestnut
360,Indonesia,9,0,0,0,0,0,chestnut
032,Argentina,10,11.544814026914537,0,0,0,0,chestnut
152,Chile,11,2.1884822621941566,0,0,0,0,chestnut
180,Democratic Republic of the Congo,12,59.20839026942849,0,0,0,0,chestnut
706,Somalia,13,1.1375319808721542,0,0,0,0,chestnut
404,Kenya,14,2181.438509161584,0,0,0,0,chestnut
729,Sudan,15,0,0,0,0,0,chestnut
148,Chad,16,0,0,0,0,0,chestnut
332,Haiti,17,0,0,0,0,0,chestnut
214,Dominican Republic,18,0,0,0,0,0,chestnut
643,Russia,19,15379.940173516365,0,0,0,0,chestnut
044,The Bahamas,20,0,0,0,0,0,chestnut
238,United Kingdom,21,0,0,0,0,0,chestnut
578,Norway,22,0,0,0,0,0,chestnut
304,Denmark,23,0,0,0,0,0,chestnut
260,France,24,0,0,0,0,0,chestnut
626,East Timor,25,0,0,0,0,0,chestnut
710,South Africa,26,109.40385341644287,0,0,0,0,chestnut
426,Lesotho,27,0,0,0,0,0,chestnut
484,Mexico,28,3463.760209941718,0,0,0,0,chestnut
858,Uruguay,29,0,0,0,0,0,chestnut
076,Brazil,30,45.56951955439581,0,0,0,0,chestnut
068,Bolivia,31,34807.470210748754,82839.80999999995,130886899799.99992,1408276769.999999,1491116579.9999993,chestnut
604,Peru,32,1359.424062583421,617.1899999999972,975160199.9999956,10492229.999999952,11109419.99999995,chestnut
170,Colombia,33,0.34254956344375387,0,0,0,0,chestnut
591,Panama,34,0,0,0,0,0,chestnut
188,Costa Rica,35,0,0,0,0,0,chestnut
558,Nicaragua,36,0,0,0,0,0,chestnut
340,Honduras,37,0,0,0,0,0,chestnut
222,El Salvador,38,0,0,0,0,0,chestnut
320,Guatemala,39,2.599507368169725,0,0,0,0,chestnut
084,Belize,40,0,0,0,0,0,chestnut
862,Venezuela,41,0,0,0,0,0,chestnut
328,Guyana,42,0,0,0,0,0,chestnut
740,Suriname,43,0,0,0,0,0,chestnut
250,France,44,11499.680745350197,8729.999999999978,13793399999.999964,148409999.9999996,157139999.9999996,chestnut
218,Ecuador,45,3.610646178945899,0,0,0,0,chestnut
630,United States of America,46,0,0,0,0,0,chestnut
388,Jamaica,47,0,0,0,0,0,chestnut
192,Cuba,48,0,0,0,0,0,chestnut
716,Zimbabwe,49,84.34431666135788,87.57999999999998,138376399.99999997,1488859.9999999998,1576439.9999999998,chestnut
072,Botswana,50,0,0,0,0,0,chestnut
516,Namibia,51,10.038832772523165,0,0,0,0,chestnut
686,Senegal,52,24535.274917915463,0,0,0,0,chestnut
466,Mali,53,872.7529039462097,0,0,0,0,chestnut
478,Mauritania,54,233.69248950481415,0,0,0,0,chestnut
204,Benin,55,163164.8856825158,0,0,0,0,chestnut
562,Niger,56,3063.1073618233204,0,0,0,0,chestnut
566,Nigeria,57,253469.4070508778,0,0,0,0,chestnut
120,Cameroon,58,1477.9649718999863,144.37999999999997,228120399.99999997,2454459.9999999995,2598839.9999999995,chestnut
768,Togo,59,4035.748740115203,0,0,0,0,chestnut
288,Ghana,60,12868.391780219972,0,0,0,0,chestnut
384,Ivory Coast,61,104057.77083091438,0,0,0,0,chestnut
324,Guinea,62,4225.501251861453,0,0,0,0,chestnut
624,Guinea-Bissau,63,177641.44295698404,0,0,0,0,chestnut
430,Liberia,64,4.944110110402107,0,0,0,0,chestnut
694,Sierra Leone,65,24.63116779178381,0,0,0,0,chestnut
854,Burkina Faso,66,7776.950600653887,0,0,0,0,chestnut
140,Central African Republic,67,0,0,0,0,0,chestnut
