ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,yautia
834,United Republic of Tanzania,2,0,0,0,0,0,yautia
732,Western Sahara,3,0,0,0,0,0,yautia
124,Canada,4,0,0,0,0,0,yautia
840,United States of America,5,1.4759407501071564,0,0,0,0,yautia
398,Kazakhstan,6,72.72557007428259,0,0,0,0,yautia
860,Uzbekistan,7,0,0,0,0,0,yautia
598,Papua New Guinea,8,5149.699629506096,0,0,0,0,yautia
360,Indonesia,9,1.5338276188413547e-35,0,0,0,0,yautia
032,Argentina,10,0,0,0,0,0,yautia
152,Chile,11,0,0,0,0,0,yautia
180,Democratic Republic of the Congo,12,0,0,0,0,0,yautia
706,Somalia,13,0,0,0,0,0,yautia
404,Kenya,14,0,0,0,0,0,yautia
729,Sudan,15,0,0,0,0,0,yautia
148,Chad,16,0,0,0,0,0,yautia
332,Haiti,17,1573.767864227295,0,0,0,0,yautia
214,Dominican Republic,18,50182.72869461775,36257.37000000004,39520533300.000046,108772110.00000012,616375290.0000007,yautia
643,Russia,19,109.87606264650822,0,0,0,0,yautia
044,The Bahamas,20,0,0,0,0,0,yautia
238,United Kingdom,21,0,0,0,0,0,yautia
578,Norway,22,0,0,0,0,0,yautia
304,Denmark,23,0,0,0,0,0,yautia
260,France,24,0,0,0,0,0,yautia
626,East Timor,25,1.3089954529601732e-37,0,0,0,0,yautia
710,South Africa,26,0,0,0,0,0,yautia
426,Lesotho,27,0,0,0,0,0,yautia
484,Mexico,28,438.9118372209843,50959.11999999996,55545440799.999954,152877359.99999988,866305039.9999993,yautia
858,Uruguay,29,0,0,0,0,0,yautia
076,Brazil,30,11.208768444774337,0,0,0,0,yautia
068,Bolivia,31,5.684115395415574,0,0,0,0,yautia
604,Peru,32,34029.451371170115,1095.5499999999934,1194149499.9999926,3286649.99999998,18624349.999999885,yautia
170,Colombia,33,144.09240323187396,0,0,0,0,yautia
591,Panama,34,5721.142205689102,6929.9999999999945,7553699999.999993,20789999.99999998,117809999.9999999,yautia
188,Costa Rica,35,14.076892793178558,8858,9655220000,26574000,150586000,yautia
558,Nicaragua,36,0,0,0,0,0,yautia
340,Honduras,37,561.24212646484375,0,0,0,0,yautia
222,El Salvador,38,51832.38126349449,48033.980000000025,52357038200.00002,144101940.00000006,816577660.0000004,yautia
320,Guatemala,39,922.143637169851,0,0,0,0,yautia
084,Belize,40,916.653065353632,37.999999999999986,41419999.999999985,113999.99999999996,645999.9999999998,yautia
862,Venezuela,41,60040.12900946429,86482.59999999999,94266033999.99998,259447799.99999994,1470204199.9999998,yautia
328,Guyana,42,1.6682632565498352,0,0,0,0,yautia
740,Suriname,43,0,0,0,0,0,yautia
250,France,44,0.935345608741045,0,0,0,0,yautia
218,Ecuador,45,96.60878497362137,0,0,0,0,yautia
630,United States of America,46,0,0,0,0,0,yautia
388,Jamaica,47,0,0,0,0,0,yautia
192,Cuba,48,86588.72570484877,101617.89999999997,110763510999.99995,304853699.9999999,1727504299.9999993,yautia
716,Zimbabwe,49,0,0,0,0,0,yautia
072,Botswana,50,0,0,0,0,0,yautia
516,Namibia,51,0,0,0,0,0,yautia
686,Senegal,52,0,0,0,0,0,yautia
466,Mali,53,0,0,0,0,0,yautia
478,Mauritania,54,0,0,0,0,0,yautia
204,Benin,55,0,0,0,0,0,yautia
562,Niger,56,0,0,0,0,0,yautia
566,Nigeria,57,0,0,0,0,0,yautia
120,Cameroon,58,0,0,0,0,0,yautia
768,Togo,59,0,0,0,0,0,yautia
288,Ghana,60,0,0,0,0,0,yautia
384,Ivory Coast,61,0,0,0,0,0,yautia
324,Guinea,62,0,0,0,0,0,yautia
624,Guinea-Bissau,63,0,0,0,0,0,yautia
430,Liberia,64,0,0,0,0,0,yautia
694,Sierra Leone,65,0,0,0,0,0,yautia
854,Burkina Faso,66,0,0,0,0,0,yautia
140,Central African Republic,67,0,0,0,0,0,yautia
178,Republic of the Congo,68,0,0,0,0,0,yautia
266,Gabon,69,0,0,0,0,0,yautia
226,Equatorial Guinea,70,0,0,0,0,0,yautia
894,Zambia,71,0,0,0,0,0,yautia
454,Malawi,72,0,0,0,0,0,yautia
508,Mozambique,73,0,0,0,0,0,yautia
748,eSwatini,74,0,0,0,0,0,yautia
024,Angola,75,0,0,0,0,0,yautia
108,Burundi,76,0,0,0,0,0,yautia
376,Israel,77,182.73194950446486,0,0,0,0,yautia
422,Lebanon,78,0,0,0,0,0,yautia
450,Madagascar,79,0,0,0,0,0,yautia
275,Israel,80,97.52401451393962,0,0,0,0,yautia
270,Gambia,81,0,0,0,0,0,yautia
788,Tunisia,82,0,0,0,0,0,yautia
012,Algeria,83,0,0,0,0,0,yautia
400,Jordan,84,0,0,0,0,0,yautia
784,United Arab Emirates,85,0,0,0,0,0,yautia
634,Qatar,86,0,0,0,0,0,yautia
414,Kuwait,87,0,0,0,0,0,yautia
368,Iraq,88,0,0,0,0,0,yautia
512,Oman,89,0,0,0,0,0,yautia
548,Vanuatu,90,0,0,0,0,0,yautia
116,Cambodia,91,3.273599546790488e-37,0,0,0,0,yautia
764,Thailand,92,2050.5794359743595,0,0,0,0,yautia
418,Laos,93,1.8488713020772368e-37,0,0,0,0,yautia
104,Myanmar,94,1.5424024373977588e-37,0,0,0,0,yautia
704,Vietnam,95,167.24346339702606,0,0,0,0,yautia
408,North Korea,96,69.6116603165865,0,0,0,0,yautia
410,South Korea,97,0,0,0,0,0,yautia
496,Mongolia,98,3.5732289268053137,0,0,0,0,yautia
356,India,99,910.6275404982443,0,0,0,0,yautia
050,Bangladesh,100,176.34364876151085,0,0,0,0,yautia
064,Bhutan,101,2.28548264503479,0,0,0,0,yautia
524,Nepal,102,24.990559763813508,0,0,0,0,yautia
586,Pakistan,103,0.45722893718630075,0,0,0,0,yautia
004,Afghanistan,104,0.17068167123943567,0,0,0,0,yautia
762,Tajikistan,105,0.1271066814661026,0,0,0,0,yautia
417,Kyrgyzstan,106,0.5655529946088791,0,0,0,0,yautia
795,Turkmenistan,107,0,0,0,0,0,yautia
364,Iran,108,0,0,0,0,0,yautia
760,Syria,109,0,0,0,0,0,yautia
051,Armenia,110,0,0,0,0,0,yautia
752,Sweden,111,0,0,0,0,0,yautia
112,Belarus,112,0,0,0,0,0,yautia
804,Ukraine,113,0,0,0,0,0,yautia
616,Poland,114,0,0,0,0,0,yautia
040,Austria,115,0,0,0,0,0,yautia
348,Hungary,116,0,0,0,0,0,yautia
498,Moldova,117,0,0,0,0,0,yautia
642,Romania,118,0,0,0,0,0,yautia
440,Lithuania,119,0,0,0,0,0,yautia
428,Latvia,120,0,0,0,0,0,yautia
233,Estonia,121,0,0,0,0,0,yautia
276,Germany,122,0,0,0,0,0,yautia
100,Bulgaria,123,0.4054954566527158,0,0,0,0,yautia
300,Greece,124,99.90056100430957,0,0,0,0,yautia
792,Turkey,125,0.4808599203824997,0,0,0,0,yautia
008,Albania,126,0.9869344532489777,0,0,0,0,yautia
191,Croatia,127,0,0,0,0,0,yautia
756,Switzerland,128,0.5792908659204841,0,0,0,0,yautia
442,Luxembourg,129,0,0,0,0,0,yautia
056,Belgium,130,0,0,0,0,0,yautia
528,Netherlands,131,0,0,0,0,0,yautia
620,Portugal,132,2790.6378141772,0,0,0,0,yautia
724,Spain,133,1275.4837162924814,0,0,0,0,yautia
372,Ireland,134,0,0,0,0,0,yautia
540,France,135,0,0,0,0,0,yautia
090,Solomon Islands,136,0,0,0,0,0,yautia
554,New Zealand,137,0,0,0,0,0,yautia
036,Australia,138,0,0,0,0,0,yautia
144,Sri Lanka,139,26142.9206250906,0,0,0,0,yautia
156,China,140,225315.01079755137,0,0,0,0,yautia
158,Taiwan,141,0,0,0,0,0,yautia
380,Italy,142,994.8079573982977,0,0,0,0,yautia
208,Denmark,143,0,0,0,0,0,yautia
826,United Kingdom,144,0,0,0,0,0,yautia
352,Iceland,145,0,0,0,0,0,yautia
031,Azerbaijan,146,0,0,0,0,0,yautia
268,Georgia,147,0,0,0,0,0,yautia
608,Philippines,148,1.3685966058888016e-36,0,0,0,0,yautia
458,Malaysia,149,3594.207345724106,0,0,0,0,yautia
096,Brunei,150,3.5470297313298716e-39,0,0,0,0,yautia
705,Slovenia,151,0,0,0,0,0,yautia
246,Finland,152,0,0,0,0,0,yautia
703,Slovakia,153,0,0,0,0,0,yautia
203,Czechia,154,0,0,0,0,0,yautia
232,Eritrea,155,0,0,0,0,0,yautia
392,Japan,156,0,0,0,0,0,yautia
600,Paraguay,157,0,0,0,0,0,yautia
887,Yemen,158,28.990855684271082,0,0,0,0,yautia
682,Saudi Arabia,159,0.020476391538977623,0,0,0,0,yautia
010,Antarctica,160,0,0,0,0,0,yautia
-99,Northern Cyprus,161,0,0,0,0,0,yautia
196,Cyprus,162,0,0,0,0,0,yautia
504,Morocco,163,0,0,0,0,0,yautia
818,Egypt,164,0,0,0,0,0,yautia
434,Libya,165,0,0,0,0,0,yautia
231,Ethiopia,166,0,0,0,0,0,yautia
262,Djibouti,167,0,0,0,0,0,yautia
-99,Somaliland,168,0,0,0,0,0,yautia
800,Uganda,169,0,0,0,0,0,yautia
646,Rwanda,170,0,0,0,0,0,yautia
070,Bosnia and Herzegovina,171,0,0,0,0,0,yautia
807,North Macedonia,172,0,0,0,0,0,yautia
688,Republic of Serbia,173,0,0,0,0,0,yautia
499,Montenegro,174,0,0,0,0,0,yautia
-99,Kosovo,175,0,0,0,0,0,yautia
780,Trinidad and Tobago,176,1301.9097356200218,1852.42,2019137800,5557260,31491140,yautia
728,South Sudan,177,0,0,0,0,0,yautia
