ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,buckwheat
834,United Republic of Tanzania,2,0,0,0,0,0,buckwheat
732,Western Sahara,3,0,0,0,0,0,buckwheat
124,Canada,4,13188.393761198155,8900.00000000004,29370000000.000134,178000000.0000008,979000000.0000044,buckwheat
840,United States of America,5,70438.88228067325,84559.20999999992,279045392999.9997,1691184199.9999983,9301513099.99999,buckwheat
398,Kazakhstan,6,34870.791746295,40093.99999999998,132310199999.99992,801879999.9999995,4410339999.999997,buckwheat
860,Uzbekistan,7,179.405092699104,19.999999999999996,65999999.99999999,399999.99999999994,2199999.9999999995,buckwheat
598,Papua New Guinea,8,0,0,0,0,0,buckwheat
360,Indonesia,9,0,0,0,0,0,buckwheat
032,Argentina,10,40.345069617033005,0,0,0,0,buckwheat
152,Chile,11,0,0,0,0,0,buckwheat
180,Democratic Republic of the Congo,12,0,0,0,0,0,buckwheat
706,Somalia,13,0,0,0,0,0,buckwheat
404,Kenya,14,0,0,0,0,0,buckwheat
729,Sudan,15,0,0,0,0,0,buckwheat
148,Chad,16,0,0,0,0,0,buckwheat
332,Haiti,17,0,0,0,0,0,buckwheat
214,Dominican Republic,18,0,0,0,0,0,buckwheat
643,Russia,19,522151.3287796386,892160.2000000053,2944128660000.0176,17843204000.000107,98137622000.00058,buckwheat
044,The Bahamas,20,0,0,0,0,0,buckwheat
238,United Kingdom,21,0,0,0,0,0,buckwheat
578,Norway,22,0,0,0,0,0,buckwheat
304,Denmark,23,0,0,0,0,0,buckwheat
260,France,24,0,0,0,0,0,buckwheat
626,East Timor,25,0,0,0,0,0,buckwheat
710,South Africa,26,278.2058445220573,224.7299999999994,741608999.999998,4494599.999999988,24720299.999999933,buckwheat
426,Lesotho,27,0.18634962663054466,0,0,0,0,buckwheat
484,Mexico,28,4.640805731265573,0,0,0,0,buckwheat
858,Uruguay,29,10.230768683366477,0,0,0,0,buckwheat
076,Brazil,30,48387.75074732106,64428.540000000074,212614182000.00024,1288570800.0000014,7087139400.000008,buckwheat
068,Bolivia,31,11.760185565566644,0,0,0,0,buckwheat
604,Peru,32,0.07695704349316657,0,0,0,0,buckwheat
170,Colombia,33,0.15332123497501016,0,0,0,0,buckwheat
591,Panama,34,0,0,0,0,0,buckwheat
188,Costa Rica,35,0,0,0,0,0,buckwheat
558,Nicaragua,36,0,0,0,0,0,buckwheat
340,Honduras,37,0,0,0,0,0,buckwheat
222,El Salvador,38,0,0,0,0,0,buckwheat
320,Guatemala,39,0,0,0,0,0,buckwheat
084,Belize,40,0,0,0,0,0,buckwheat
862,Venezuela,41,0.02198539188394477,0,0,0,0,buckwheat
328,Guyana,42,1.9881754703819752,0,0,0,0,buckwheat
740,Suriname,43,0,0,0,0,0,buckwheat
