ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,cranberry
834,United Republic of Tanzania,2,0,0,0,0,0,cranberry
732,Western Sahara,3,0,0,0,0,0,cranberry
124,Canada,4,37422.57377467843,161142.99999999953,75737209999.99977,322285999.99999905,644571999.9999981,cranberry
840,United States of America,5,262970.529416538,354169.99999999604,166459899999.99814,708339999.9999921,1416679999.9999843,cranberry
398,Kazakhstan,6,0.001510772427881335,0,0,0,0,cranberry
860,Uzbekistan,7,0,0,0,0,0,cranberry
598,Papua New Guinea,8,0,0,0,0,0,cranberry
360,Indonesia,9,0,0,0,0,0,cranberry
032,Argentina,10,0,0,0,0,0,cranberry
152,Chile,11,0,0,0,0,0,cranberry
180,Democratic Republic of the Congo,12,0,0,0,0,0,cranberry
706,Somalia,13,0,0,0,0,0,cranberry
404,Kenya,14,0,0,0,0,0,cranberry
729,Sudan,15,0,0,0,0,0,cranberry
148,Chad,16,0,0,0,0,0,cranberry
332,Haiti,17,0,0,0,0,0,cranberry
214,Dominican Republic,18,0,0,0,0,0,cranberry
643,Russia,19,266.7626443360431,0,0,0,0,cranberry
044,The Bahamas,20,0,0,0,0,0,cranberry
238,United Kingdom,21,0,0,0,0,0,cranberry
578,Norway,22,0,0,0,0,0,cranberry
304,Denmark,23,0,0,0,0,0,cranberry
260,France,24,0,0,0,0,0,cranberry
626,East Timor,25,0,0,0,0,0,cranberry
710,South Africa,26,0,0,0,0,0,cranberry
426,Lesotho,27,0,0,0,0,0,cranberry
484,Mexico,28,9.19773466233164,0,0,0,0,cranberry
858,Uruguay,29,0,0,0,0,0,cranberry
076,Brazil,30,0,0,0,0,0,cranberry
068,Bolivia,31,0,0,0,0,0,cranberry
604,Peru,32,0,0,0,0,0,cranberry
170,Colombia,33,0,0,0,0,0,cranberry
591,Panama,34,0,0,0,0,0,cranberry
188,Costa Rica,35,0,0,0,0,0,cranberry
558,Nicaragua,36,0,0,0,0,0,cranberry
340,Honduras,37,0,0,0,0,0,cranberry
222,El Salvador,38,0,0,0,0,0,cranberry
320,Guatemala,39,0,0,0,0,0,cranberry
084,Belize,40,0,0,0,0,0,cranberry
862,Venezuela,41,0,0,0,0,0,cranberry
328,Guyana,42,0,0,0,0,0,cranberry
740,Suriname,43,0,0,0,0,0,cranberry
250,France,44,0,0,0,0,0,cranberry
218,Ecuador,45,0,0,0,0,0,cranberry
630,United States of America,46,0,0,0,0,0,cranberry
388,Jamaica,47,0,0,0,0,0,cranberry
192,Cuba,48,0,0,0,0,0,cranberry
716,Zimbabwe,49,0,0,0,0,0,cranberry
072,Botswana,50,0,0,0,0,0,cranberry
516,Namibia,51,0,0,0,0,0,cranberry
686,Senegal,52,0,0,0,0,0,cranberry
466,Mali,53,0,0,0,0,0,cranberry
478,Mauritania,54,0,0,0,0,0,cranberry
204,Benin,55,0,0,0,0,0,cranberry
562,Niger,56,0,0,0,0,0,cranberry
566,Nigeria,57,0,0,0,0,0,cranberry
120,Cameroon,58,0,0,0,0,0,cranberry
768,Togo,59,0,0,0,0,0,cranberry
288,Ghana,60,0,0,0,0,0,cranberry
384,Ivory Coast,61,0,0,0,0,0,cranberry
324,Guinea,62,0,0,0,0,0,cranberry
624,Guinea-Bissau,63,0,0,0,0,0,cranberry
