ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,sugarcane
834,United Republic of Tanzania,2,1294262.1760148406,3613550.8199999947,1084065245999.9984,0,7227101639.9999895,sugarcane
732,Western Sahara,3,0,0,0,0,0,sugarcane
124,Canada,4,0,0,0,0,0,sugarcane
840,United States of America,5,31006873.459309816,32749369.999999996,9824810999999.998,0,65498739999.99999,sugarcane
398,Kazakhstan,6,0,0,0,0,0,sugarcane
860,Uzbekistan,7,0,0,0,0,0,sugarcane
598,Papua New Guinea,8,404683.67512884736,351316.50000000006,105394950000.00002,0,702633000.0000001,sugarcane
360,Indonesia,9,23278108.19897437,29299999.999999825,8789999999999.947,0,58599999999.99965,sugarcane
032,Argentina,10,16232643.571367294,17499999.99999996,5249999999999.988,0,34999999999.99992,sugarcane
152,Chile,11,1.1908198595046997,0,0,0,0,sugarcane
180,Democratic Republic of the Congo,12,1706623.6045598984,2700000.0000000163,810000000000.0049,0,5400000000.000033,sugarcane
706,Somalia,13,195128.89644742012,212999.99999999962,63899999999.999886,0,425999999.9999993,sugarcane
404,Kenya,14,4218159.074086189,6810897.999999963,2043269399999.9888,0,13621795999.999926,sugarcane
729,Sudan,15,3497215.5818394423,0,0,0,0,sugarcane
148,Chad,16,172227.2975783348,427599.9999999995,128279999999.99985,0,855199999.999999,sugarcane
332,Haiti,17,1052976.3325881958,1475016.3699999999,442504910999.99994,0,2950032740,sugarcane
214,Dominican Republic,18,4516510.275129318,5317273.000000003,1595181900000.001,0,10634546000.000008,sugarcane
643,Russia,19,0,0,0,0,0,sugarcane
044,The Bahamas,20,0,0,0,0,0,sugarcane
238,United Kingdom,21,0,0,0,0,0,sugarcane
578,Norway,22,0,0,0,0,0,sugarcane
304,Denmark,23,0,0,0,0,0,sugarcane
260,France,24,0,0,0,0,0,sugarcane
626,East Timor,25,789.8194580078125,0,0,0,0,sugarcane
710,South Africa,26,19694157.74891477,18220000.000000063,5466000000000.02,0,36440000000.00013,sugarcane
426,Lesotho,27,0,0,0,0,0,sugarcane
484,Mexico,28,45411348.284057096,53841556.789999925,16152467036999.979,0,107683113579.99986,sugarcane
858,Uruguay,29,134166.69047296047,417000.00000000006,125100000000.00002,0,834000000.0000001,sugarcane
076,Brazil,30,343717454.7513226,756070575.9999967,226821172799999,0,1512141151999.9934,sugarcane
068,Bolivia,31,3948880.5414645895,10094422.999999981,3028326899999.9946,0,20188845999.999966,sugarcane
604,Peru,32,6780807.681015134,10465212.160000037,3139563648000.011,0,20930424320.000076,sugarcane
170,Colombia,33,28191814.561024237,36364744.04000005,10909423212000.016,0,72729488080.0001,sugarcane
591,Panama,34,1410839.82650882,2521268.0000000005,756380400000.0001,0,5042536000.000001,sugarcane
188,Costa Rica,35,3758992.424057007,4194596.999999997,1258379099999.999,0,8389193999.999994,sugarcane
558,Nicaragua,36,3519639.606124878,6992540.519999989,2097762155999.9968,0,13985081039.999979,sugarcane
340,Honduras,37,3369357.5468673706,5030353.740000002,1509106122000.0007,0,10060707480.000006,sugarcane
222,El Salvador,38,4129069.234975815,7508772.960000005,2252631888000.0015,0,15017545920.00001,sugarcane
320,Guatemala,39,16709852.583389282,27669110.000000007,8300733000000.002,0,55338220000.000015,sugarcane
084,Belize,40,1176335.2248325348,1536864.0000000007,461059200000.00024,0,3073728000.000002,sugarcane
862,Venezuela,41,8337022.326982243,3335090.0000000037,1000527000000.0011,0,6670180000.000008,sugarcane
328,Guyana,42,2629589.921500206,1217153.9999999995,365146199999.9999,0,2434307999.9999995,sugarcane
740,Suriname,43,79381.5476757288,75000,22500000000,0,150000000,sugarcane
250,France,44,4254.151045881212,0,0,0,0,sugarcane
218,Ecuador,45,5496699.499632806,11016167.040000008,3304850112000.003,0,22032334080.00002,sugarcane
630,United States of America,46,78472.28943061829,0,0,0,0,sugarcane
388,Jamaica,47,2066298.091003418,522503.0000000001,156750900000.00003,0,1045006000.0000002,sugarcane
192,Cuba,48,32448279.258247375,13871763.999999996,4161529199999.999,0,27743527999.999996,sugarcane
716,Zimbabwe,49,4049370.625330031,3543771.000000001,1063131300000.0002,0,7087542000.000002,sugarcane
072,Botswana,50,18292.80551147461,0,0,0,0,sugarcane
516,Namibia,51,1950.5854161977768,0,0,0,0,sugarcane
686,Senegal,52,663293.3515949547,1300000,390000000000,0,2600000000,sugarcane
466,Mali,53,268969.4476877153,660000.0000000012,198000000000.00034,0,1320000000.0000024,sugarcane
478,Mauritania,54,100420.74253808032,0,0,0,0,sugarcane
204,Benin,55,48816.50801773369,75500.00000000009,22650000000.000027,0,151000000.00000018,sugarcane
562,Niger,56,216030.96191956103,436995.37999999966,131098613999.99988,0,873990759.9999993,sugarcane
566,Nigeria,57,66040.21460741758,1524038.3899999997,457211516999.9999,0,3048076779.9999995,sugarcane
120,Cameroon,58,1331437.98010692,1208788.3900000008,362636517000.00024,0,2417576780.0000014,sugarcane
768,Togo,59,1477.4731568470597,0,0,0,0,sugarcane
288,Ghana,60,141254.14072424173,154339.33000000005,46301799000.000015,0,308678660.0000001,sugarcane
384,Ivory Coast,61,1173132.2561562061,1970000.0000000033,591000000000.001,0,3940000000.000007,sugarcane
324,Guinea,62,224872.99423712492,317122.8400000001,95136852000.00003,0,634245680.0000002,sugarcane
624,Guinea-Bissau,63,6261.414120208472,6885.489999999991,2065646999.9999974,0,13770979.999999983,sugarcane
430,Liberia,64,200021.92457795143,275787.2800000001,82736184000.00003,0,551574560.0000002,sugarcane
694,Sierra Leone,65,40103.342598080635,80989.24000000006,24296772000.00002,0,161978480.00000012,sugarcane
854,Burkina Faso,66,290562.8968453407,498696.38,149608914000,0,997392760,sugarcane
140,Central African Republic,67,138943.96918233112,128407.02000000044,38522106000.00013,0,256814040.00000086,sugarcane
178,Republic of the Congo,68,423454.84477996826,688163.4499999997,206449034999.9999,0,1376326899.9999995,sugarcane
266,Gabon,69,174892.7625389099,290005.00999999995,87001502999.99998,0,580010019.9999999,sugarcane
226,Equatorial Guinea,70,0,0,0,0,0,sugarcane
894,Zambia,71,1676614.5910344124,4786656.429999993,1435996928999.998,0,9573312859.999987,sugarcane
454,Malawi,72,1268438.8006196022,3045644.829999998,913693448999.9994,0,6091289659.999996,sugarcane
508,Mozambique,73,1050106.933632955,2737556.0000000014,821266800000.0005,0,5475112000.000004,sugarcane
748,eSwatini,74,3618192.7950439453,5833080.359999998,1749924107999.9993,0,11666160719.999996,sugarcane
024,Angola,75,347884.9127650857,864999.9999999992,259499999999.99976,0,1729999999.9999986,sugarcane
108,Burundi,76,179006.58277511597,190000,57000000000,0,380000000,sugarcane
376,Israel,77,10.811890445249446,0,0,0,0,sugarcane
422,Lebanon,78,1420.5196685633528,0,0,0,0,sugarcane
450,Madagascar,79,1938092.047290504,3139375.16,941812548000,0,6278750320,sugarcane
275,Israel,80,0,0,0,0,0,sugarcane
270,Gambia,81,11801.038059443235,0,0,0,0,sugarcane
788,Tunisia,82,0,0,0,0,0,sugarcane
012,Algeria,83,323.82626724243164,0,0,0,0,sugarcane
400,Jordan,84,4.021595032099867e-6,0,0,0,0,sugarcane
784,United Arab Emirates,85,0,0,0,0,0,sugarcane
634,Qatar,86,0,0,0,0,0,sugarcane
414,Kuwait,87,0,0,0,0,0,sugarcane
368,Iraq,88,6693.830029610469,0,0,0,0,sugarcane
512,Oman,89,0,0,0,0,0,sugarcane
