ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,mustard
834,United Republic of Tanzania,2,0,0,0,0,0,mustard
732,Western Sahara,3,0,0,0,0,0,mustard
124,Canada,4,209439.25271893642,100000.00000000012,884000000000.0011,100000000000.00012,0,mustard
840,United States of America,5,31316.616138486774,37089.99999999998,327875599999.9998,37089999999.99998,0,mustard
398,Kazakhstan,6,5054.669999938349,10735.44000000003,94901289600.00026,10735440000.00003,0,mustard
860,Uzbekistan,7,45.467258422169834,0,0,0,0,mustard
598,Papua New Guinea,8,0,0,0,0,0,mustard
360,Indonesia,9,0,0,0,0,0,mustard
032,Argentina,10,74.56561350962147,0,0,0,0,mustard
152,Chile,11,0,0,0,0,0,mustard
180,Democratic Republic of the Congo,12,0,0,0,0,0,mustard
706,Somalia,13,0.0041732871904969215,0,0,0,0,mustard
404,Kenya,14,0.6123318634927273,0,0,0,0,mustard
729,Sudan,15,1.583727266639471,0,0,0,0,mustard
148,Chad,16,0,0,0,0,0,mustard
332,Haiti,17,12462.222512483597,0,0,0,0,mustard
214,Dominican Republic,18,70.37890243530273,0,0,0,0,mustard
643,Russia,19,51951.77391254048,103032.90000000037,910810836000.0033,103032900000.00037,0,mustard
044,The Bahamas,20,0,0,0,0,0,mustard
238,United Kingdom,21,0,0,0,0,0,mustard
578,Norway,22,0,0,0,0,0,mustard
304,Denmark,23,0,0,0,0,0,mustard
260,France,24,0,0,0,0,0,mustard
626,East Timor,25,0,0,0,0,0,mustard
710,South Africa,26,0,0,0,0,0,mustard
426,Lesotho,27,0,0,0,0,0,mustard
484,Mexico,28,38.4088423723697,0,0,0,0,mustard
858,Uruguay,29,4.868077690480277,0,0,0,0,mustard
076,Brazil,30,23043.905370007924,0,0,0,0,mustard
068,Bolivia,31,11.524620776996017,0,0,0,0,mustard
604,Peru,32,224.96640237978136,0,0,0,0,mustard
170,Colombia,33,34.78285582668468,0,0,0,0,mustard
591,Panama,34,348.41034438600764,0,0,0,0,mustard
188,Costa Rica,35,227.69513771962374,0,0,0,0,mustard
558,Nicaragua,36,14202.799034066498,0,0,0,0,mustard
340,Honduras,37,1095.463714883197,0,0,0,0,mustard
222,El Salvador,38,7434.674047112465,0,0,0,0,mustard
320,Guatemala,39,18.430172626423882,0,0,0,0,mustard
084,Belize,40,2.2098476782402365e-42,0,0,0,0,mustard
862,Venezuela,41,34038.69822846689,0,0,0,0,mustard
328,Guyana,42,1.9675677362829447,0,0,0,0,mustard
740,Suriname,43,0,0,0,0,0,mustard
250,France,44,1163.6822432026383,0,0,0,0,mustard
218,Ecuador,45,60.81565331103593,0,0,0,0,mustard
630,United States of America,46,0,0,0,0,0,mustard
388,Jamaica,47,0,0,0,0,0,mustard
192,Cuba,48,0,0,0,0,0,mustard
716,Zimbabwe,49,0,0,0,0,0,mustard
072,Botswana,50,0,0,0,0,0,mustard
516,Namibia,51,0,0,0,0,0,mustard
686,Senegal,52,0,0,0,0,0,mustard
466,Mali,53,0,0,0,0,0,mustard
478,Mauritania,54,0,0,0,0,0,mustard
204,Benin,55,0,0,0,0,0,mustard
562,Niger,56,0,0,0,0,0,mustard
566,Nigeria,57,0,0,0,0,0,mustard
120,Cameroon,58,0,0,0,0,0,mustard
768,Togo,59,0,0,0,0,0,mustard
288,Ghana,60,0,0,0,0,0,mustard
384,Ivory Coast,61,0,0,0,0,0,mustard
324,Guinea,62,0,0,0,0,0,mustard
624,Guinea-Bissau,63,0,0,0,0,0,mustard
430,Liberia,64,0,0,0,0,0,mustard
694,Sierra Leone,65,0,0,0,0,0,mustard
854,Burkina Faso,66,0,0,0,0,0,mustard
140,Central African Republic,67,0,0,0,0,0,mustard
178,Republic of the Congo,68,0,0,0,0,0,mustard
266,Gabon,69,0,0,0,0,0,mustard
226,Equatorial Guinea,70,0,0,0,0,0,mustard
894,Zambia,71,0,0,0,0,0,mustard
454,Malawi,72,0,0,0,0,0,mustard
508,Mozambique,73,0,0,0,0,0,mustard
748,eSwatini,74,0,0,0,0,0,mustard
024,Angola,75,0,0,0,0,0,mustard
108,Burundi,76,0,0,0,0,0,mustard
376,Israel,77,0,0,0,0,0,mustard
422,Lebanon,78,0,0,0,0,0,mustard
450,Madagascar,79,0,0,0,0,0,mustard
275,Israel,80,0,0,0,0,0,mustard
270,Gambia,81,0,0,0,0,0,mustard
788,Tunisia,82,0,0,0,0,0,mustard
012,Algeria,83,0,0,0,0,0,mustard
400,Jordan,84,0,0,0,0,0,mustard
784,United Arab Emirates,85,0,0,0,0,0,mustard
634,Qatar,86,0,0,0,0,0,mustard
414,Kuwait,87,0,0,0,0,0,mustard
368,Iraq,88,0,0,0,0,0,mustard
512,Oman,89,0,0,0,0,0,mustard
548,Vanuatu,90,0,0,0,0,0,mustard
116,Cambodia,91,0,0,0,0,0,mustard
764,Thailand,92,55.2223409563303,0,0,0,0,mustard
418,Laos,93,2.4028912633657455,0,0,0,0,mustard
104,Myanmar,94,20801.427349434,36814.00000000004,325435760000.0003,36814000000.00004,0,mustard
704,Vietnam,95,6.765257490798831,0,0,0,0,mustard
408,North Korea,96,5.012231637723744,0,0,0,0,mustard
410,South Korea,97,0,0,0,0,0,mustard
496,Mongolia,98,5.66388074416318,0,0,0,0,mustard
356,India,99,8054.236460400425,0,0,0,0,mustard
050,Bangladesh,100,40.48875939846039,0,0,0,0,mustard
064,Bhutan,101,1738.5394794483436,537.81,4754240399.999999,537809999.9999999,0,mustard
524,Nepal,102,134010.5641847327,214055.00000000006,1892246200000.0005,214055000000.00006,0,mustard
586,Pakistan,103,0.03258740185992792,0,0,0,0,mustard
004,Afghanistan,104,0.012289551727008075,0,0,0,0,mustard
762,Tajikistan,105,12.590393040329218,0,0,0,0,mustard
417,Kyrgyzstan,106,807.5542278457433,14.52,128356800,14520000,0,mustard
795,Turkmenistan,107,0,0,0,0,0,mustard
364,Iran,108,0,0,0,0,0,mustard
760,Syria,109,0,0,0,0,0,mustard
051,Armenia,110,0,0,0,0,0,mustard
752,Sweden,111,0,0,0,0,0,mustard
112,Belarus,112,24.36871626600623,0,0,0,0,mustard
804,Ukraine,113,17517.0067381775,14040.000000000047,124113600000.00043,14040000000.000048,0,mustard
616,Poland,114,259.75066977366805,0,0,0,0,mustard
040,Austria,115,64.31196021754295,0,0,0,0,mustard
348,Hungary,116,208.48272095620632,0,0,0,0,mustard
498,Moldova,117,66.99455749988556,0,0,0,0,mustard
642,Romania,118,6237.337591674179,0,0,0,0,mustard
440,Lithuania,119,630.9722797926515,0,0,0,0,mustard
428,Latvia,120,32.361703760921955,0,0,0,0,mustard
233,Estonia,121,6.86074685305357,0,0,0,0,mustard
276,Germany,122,3838.8469201140106,0,0,0,0,mustard
100,Bulgaria,123,970.0143016567454,0,0,0,0,mustard
300,Greece,124,2.180593427270651,0,0,0,0,mustard
792,Turkey,125,7.573651701211929,0,0,0,0,mustard
008,Albania,126,0,0,0,0,0,mustard
191,Croatia,127,0,0,0,0,0,mustard
