ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,poppy
834,United Republic of Tanzania,2,0,0,0,0,0,poppy
732,Western Sahara,3,0,0,0,0,0,poppy
124,Canada,4,2.0362423248973764e-37,0,0,0,0,poppy
840,United States of America,5,0.026264106389611186,0,0,0,0,poppy
398,Kazakhstan,6,9.269698210177012,0,0,0,0,poppy
860,Uzbekistan,7,0,0,0,0,0,poppy
598,Papua New Guinea,8,0,0,0,0,0,poppy
360,Indonesia,9,0,0,0,0,0,poppy
032,Argentina,10,74.56561350962147,0,0,0,0,poppy
152,Chile,11,0,0,0,0,0,poppy
180,Democratic Republic of the Congo,12,0,0,0,0,0,poppy
706,Somalia,13,0.006937799043953419,0,0,0,0,poppy
404,Kenya,14,1.0179591085761786,0,0,0,0,poppy
729,Sudan,15,2.6328361965715885,0,0,0,0,poppy
148,Chad,16,0,0,0,0,0,poppy
332,Haiti,17,12462.222512483597,0,0,0,0,poppy
214,Dominican Republic,18,70.37890243530273,0,0,0,0,poppy
643,Russia,19,14.004949680995196,0,0,0,0,poppy
044,The Bahamas,20,0,0,0,0,0,poppy
238,United Kingdom,21,0,0,0,0,0,poppy
578,Norway,22,0,0,0,0,0,poppy
304,Denmark,23,0,0,0,0,0,poppy
260,France,24,0,0,0,0,0,poppy
626,East Timor,25,0,0,0,0,0,poppy
710,South Africa,26,0,0,0,0,0,poppy
426,Lesotho,27,0,0,0,0,0,poppy
484,Mexico,28,16.215585332112788,0,0,0,0,poppy
858,Uruguay,29,4.868077690480277,0,0,0,0,poppy
076,Brazil,30,23043.905370007924,0,0,0,0,poppy
068,Bolivia,31,11.524620776996017,0,0,0,0,poppy
604,Peru,32,224.96640237978136,0,0,0,0,poppy
170,Colombia,33,34.78285582668468,0,0,0,0,poppy
591,Panama,34,348.41034438600764,0,0,0,0,poppy
188,Costa Rica,35,227.69513771962374,0,0,0,0,poppy
558,Nicaragua,36,14202.799034066498,0,0,0,0,poppy
340,Honduras,37,1095.463714883197,0,0,0,0,poppy
222,El Salvador,38,7434.674047112465,0,0,0,0,poppy
320,Guatemala,39,18.413482954900246,0,0,0,0,poppy
084,Belize,40,2.2098476782402365e-42,0,0,0,0,poppy
862,Venezuela,41,34038.69822846689,0,0,0,0,poppy
328,Guyana,42,1.9675677362829447,0,0,0,0,poppy
740,Suriname,43,0,0,0,0,0,poppy
250,France,44,4847.430342770414,0,0,0,0,poppy
218,Ecuador,45,60.81565331103593,0,0,0,0,poppy
630,United States of America,46,0,0,0,0,0,poppy
388,Jamaica,47,0,0,0,0,0,poppy
192,Cuba,48,0,0,0,0,0,poppy
716,Zimbabwe,49,0,0,0,0,0,poppy
072,Botswana,50,0,0,0,0,0,poppy
516,Namibia,51,0,0,0,0,0,poppy
686,Senegal,52,0,0,0,0,0,poppy
466,Mali,53,0,0,0,0,0,poppy
478,Mauritania,54,0,0,0,0,0,poppy
204,Benin,55,0,0,0,0,0,poppy
562,Niger,56,0,0,0,0,0,poppy
566,Nigeria,57,0,0,0,0,0,poppy
120,Cameroon,58,0,0,0,0,0,poppy
768,Togo,59,0,0,0,0,0,poppy
288,Ghana,60,0,0,0,0,0,poppy
384,Ivory Coast,61,0,0,0,0,0,poppy
324,Guinea,62,0,0,0,0,0,poppy
624,Guinea-Bissau,63,0,0,0,0,0,poppy
430,Liberia,64,0,0,0,0,0,poppy
694,Sierra Leone,65,0,0,0,0,0,poppy
854,Burkina Faso,66,0,0,0,0,0,poppy
140,Central African Republic,67,0,0,0,0,0,poppy
178,Republic of the Congo,68,0,0,0,0,0,poppy
266,Gabon,69,0,0,0,0,0,poppy
226,Equatorial Guinea,70,0,0,0,0,0,poppy
894,Zambia,71,0,0,0,0,0,poppy
454,Malawi,72,0,0,0,0,0,poppy
508,Mozambique,73,0,0,0,0,0,poppy
748,eSwatini,74,0,0,0,0,0,poppy
024,Angola,75,0,0,0,0,0,poppy
108,Burundi,76,0,0,0,0,0,poppy
376,Israel,77,690.0856843441725,0,0,0,0,poppy
422,Lebanon,78,0,0,0,0,0,poppy
450,Madagascar,79,0,0,0,0,0,poppy
275,Israel,80,368.29863503575325,1538.9399999999998,8202550199.999999,687906180,277009199.99999994,poppy
270,Gambia,81,0,0,0,0,0,poppy
788,Tunisia,82,0,0,0,0,0,poppy
012,Algeria,83,0,0,0,0,0,poppy
