ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,blueberry
834,United Republic of Tanzania,2,0,0,0,0,0,blueberry
732,Western Sahara,3,0,0,0,0,0,blueberry
124,Canada,4,51994.31720346984,148464.99999999962,81655749999.99979,593859999.9999985,1039254999.9999973,blueberry
840,United States of America,5,107609.86342255071,315519.9999999978,173535999999.99878,1262079999.9999912,2208639999.9999847,blueberry
398,Kazakhstan,6,2.427722312083805,0,0,0,0,blueberry
860,Uzbekistan,7,493.88880709186196,662.0199999999993,364110999.9999996,2648079.999999997,4634139.999999994,blueberry
598,Papua New Guinea,8,0,0,0,0,0,blueberry
360,Indonesia,9,0,0,0,0,0,blueberry
032,Argentina,10,0,0,0,0,0,blueberry
152,Chile,11,0,0,0,0,0,blueberry
180,Democratic Republic of the Congo,12,0,0,0,0,0,blueberry
706,Somalia,13,0,0,0,0,0,blueberry
404,Kenya,14,0,0,0,0,0,blueberry
729,Sudan,15,0,0,0,0,0,blueberry
148,Chad,16,0,0,0,0,0,blueberry
332,Haiti,17,0,0,0,0,0,blueberry
214,Dominican Republic,18,0,0,0,0,0,blueberry
643,Russia,19,70.7487152852199,3599.999999999999,1979999999.9999995,14399999.999999998,25199999.999999993,blueberry
044,The Bahamas,20,0,0,0,0,0,blueberry
238,United Kingdom,21,0,0,0,0,0,blueberry
578,Norway,22,0,0,0,0,0,blueberry
304,Denmark,23,0,0,0,0,0,blueberry
260,France,24,0,0,0,0,0,blueberry
626,East Timor,25,0,0,0,0,0,blueberry
710,South Africa,26,0,0,0,0,0,blueberry
426,Lesotho,27,0,0,0,0,0,blueberry
484,Mexico,28,622.8421513286601,50292.62999999986,27660946499.99992,201170519.99999943,352048409.999999,blueberry
858,Uruguay,29,0,0,0,0,0,blueberry
076,Brazil,30,0,0,0,0,0,blueberry
068,Bolivia,31,0,0,0,0,0,blueberry
604,Peru,32,0,0,0,0,0,blueberry
170,Colombia,33,0,0,0,0,0,blueberry
591,Panama,34,0,0,0,0,0,blueberry
188,Costa Rica,35,0,0,0,0,0,blueberry
558,Nicaragua,36,0,0,0,0,0,blueberry
340,Honduras,37,0,0,0,0,0,blueberry
222,El Salvador,38,0,0,0,0,0,blueberry
320,Guatemala,39,0.4154987521469593,0,0,0,0,blueberry
084,Belize,40,0,0,0,0,0,blueberry
862,Venezuela,41,0,0,0,0,0,blueberry
328,Guyana,42,0,0,0,0,0,blueberry
740,Suriname,43,0,0,0,0,0,blueberry
250,France,44,0.052815426141023636,7880.999999999999,4334549999.999999,31523999.999999996,55166999.999999985,blueberry
218,Ecuador,45,0,0,0,0,0,blueberry
630,United States of America,46,0,0,0,0,0,blueberry
388,Jamaica,47,0,0,0,0,0,blueberry
192,Cuba,48,0,0,0,0,0,blueberry
716,Zimbabwe,49,0,0,0,0,0,blueberry
072,Botswana,50,0,0,0,0,0,blueberry
516,Namibia,51,0,0,0,0,0,blueberry
686,Senegal,52,0,0,0,0,0,blueberry
466,Mali,53,0,0,0,0,0,blueberry
478,Mauritania,54,0,0,0,0,0,blueberry
204,Benin,55,0,0,0,0,0,blueberry
562,Niger,56,0,0,0,0,0,blueberry
566,Nigeria,57,0,0,0,0,0,blueberry
120,Cameroon,58,0,0,0,0,0,blueberry
768,Togo,59,0,0,0,0,0,blueberry
288,Ghana,60,0,0,0,0,0,blueberry
384,Ivory Coast,61,0,0,0,0,0,blueberry
324,Guinea,62,0,0,0,0,0,blueberry
624,Guinea-Bissau,63,0,0,0,0,0,blueberry
430,Liberia,64,0,0,0,0,0,blueberry
694,Sierra Leone,65,0,0,0,0,0,blueberry
854,Burkina Faso,66,0,0,0,0,0,blueberry
140,Central African Republic,67,0,0,0,0,0,blueberry
178,Republic of the Congo,68,0,0,0,0,0,blueberry
266,Gabon,69,0,0,0,0,0,blueberry
226,Equatorial Guinea,70,0,0,0,0,0,blueberry
894,Zambia,71,0,0,0,0,0,blueberry
454,Malawi,72,0,0,0,0,0,blueberry
508,Mozambique,73,0,0,0,0,0,blueberry
748,eSwatini,74,0,0,0,0,0,blueberry
024,Angola,75,0,0,0,0,0,blueberry
108,Burundi,76,0,0,0,0,0,blueberry
376,Israel,77,183.30312275886536,0,0,0,0,blueberry
422,Lebanon,78,353.94929077103734,0,0,0,0,blueberry
450,Madagascar,79,0,0,0,0,0,blueberry
275,Israel,80,96.53544248268008,0,0,0,0,blueberry
270,Gambia,81,0,0,0,0,0,blueberry
788,Tunisia,82,0,0,0,0,0,blueberry
012,Algeria,83,0.028029607608914375,0,0,0,0,blueberry
400,Jordan,84,56.481378740631044,0,0,0,0,blueberry
784,United Arab Emirates,85,0,0,0,0,0,blueberry
634,Qatar,86,0,0,0,0,0,blueberry
414,Kuwait,87,14.115999162197113,0,0,0,0,blueberry
368,Iraq,88,12.195347968488932,0,0,0,0,blueberry
512,Oman,89,0,0,0,0,0,blueberry
