ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,mushroom
834,United Republic of Tanzania,2,6185.875163096003,0,0,0,0,mushroom
732,Western Sahara,3,0,0,0,0,0,mushroom
124,Canada,4,0,0,0,0,0,mushroom
840,United States of America,5,0,0,0,0,0,mushroom
398,Kazakhstan,6,10.04255797337828,517.26,124142400,2069040,10345200,mushroom
860,Uzbekistan,7,0,0,0,0,0,mushroom
598,Papua New Guinea,8,0,0,0,0,0,mushroom
360,Indonesia,9,0,0,0,0,0,mushroom
032,Argentina,10,31.305064870698914,0,0,0,0,mushroom
152,Chile,11,14966.879854310358,0,0,0,0,mushroom
180,Democratic Republic of the Congo,12,0,0,0,0,0,mushroom
706,Somalia,13,0,0,0,0,0,mushroom
404,Kenya,14,22.894684858620167,0,0,0,0,mushroom
729,Sudan,15,0,0,0,0,0,mushroom
148,Chad,16,0,0,0,0,0,mushroom
332,Haiti,17,0,0,0,0,0,mushroom
214,Dominican Republic,18,0,0,0,0,0,mushroom
643,Russia,19,56.79293735139072,86377.87999999999,20730691199.999996,345511520,1727557599.9999998,mushroom
044,The Bahamas,20,0,0,0,0,0,mushroom
238,United Kingdom,21,0,0,0,0,0,mushroom
578,Norway,22,0,0,0,0,0,mushroom
304,Denmark,23,0,0,0,0,0,mushroom
260,France,24,0,0,0,0,0,mushroom
626,East Timor,25,0,0,0,0,0,mushroom
710,South Africa,26,29618.043847873574,26522.00000000005,6365280000.000012,106088000.00000021,530440000.000001,mushroom
426,Lesotho,27,19.82994019985199,0,0,0,0,mushroom
484,Mexico,28,0,0,0,0,0,mushroom
858,Uruguay,29,1748.1789056621492,0,0,0,0,mushroom
076,Brazil,30,56.19341367913876,0,0,0,0,mushroom
068,Bolivia,31,20677.20882494538,0,0,0,0,mushroom
604,Peru,32,42285.40546067059,0,0,0,0,mushroom
170,Colombia,33,11.373912457376719,0,0,0,0,mushroom
591,Panama,34,0,0,0,0,0,mushroom
188,Costa Rica,35,0,0,0,0,0,mushroom
558,Nicaragua,36,0,0,0,0,0,mushroom
340,Honduras,37,0,0,0,0,0,mushroom
222,El Salvador,38,0,0,0,0,0,mushroom
320,Guatemala,39,0,0,0,0,0,mushroom
084,Belize,40,0,0,0,0,0,mushroom
862,Venezuela,41,0,0,0,0,0,mushroom
328,Guyana,42,0,0,0,0,0,mushroom
740,Suriname,43,0,0,0,0,0,mushroom
250,France,44,73.32084083557129,132149.99999999997,31715999999.999992,528599999.99999994,2642999999.9999995,mushroom
218,Ecuador,45,119.8868014216423,0,0,0,0,mushroom
630,United States of America,46,0,0,0,0,0,mushroom
388,Jamaica,47,4.813032486476004,0,0,0,0,mushroom
192,Cuba,48,0,0,0,0,0,mushroom
716,Zimbabwe,49,1156.6819864576682,832.9200000000001,199900800.00000003,3331680.0000000005,16658400.000000002,mushroom
072,Botswana,50,18.464952341280878,0,0,0,0,mushroom
516,Namibia,51,0.03622796945273876,0,0,0,0,mushroom
