ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,sugarnes
834,United Republic of Tanzania,2,0,0,0,0,0,sugarnes
732,Western Sahara,3,0,0,0,0,0,sugarnes
124,Canada,4,14284.311385817826,0,0,0,0,sugarnes
840,United States of America,5,3.349339919644095e-35,0,0,0,0,sugarnes
398,Kazakhstan,6,1309.970067916438,0,0,0,0,sugarnes
860,Uzbekistan,7,1599.6384323686361,0,0,0,0,sugarnes
598,Papua New Guinea,8,0,0,0,0,0,sugarnes
360,Indonesia,9,183325.56951034628,199438.7999999997,777811319999.9988,0,0,sugarnes
032,Argentina,10,48.23290898121388,0,0,0,0,sugarnes
152,Chile,11,44240.969934377026,0,0,0,0,sugarnes
180,Democratic Republic of the Congo,12,0,0,0,0,0,sugarnes
706,Somalia,13,0,0,0,0,0,sugarnes
404,Kenya,14,0,0,0,0,0,sugarnes
729,Sudan,15,0,0,0,0,0,sugarnes
148,Chad,16,0,0,0,0,0,sugarnes
332,Haiti,17,0,0,0,0,0,sugarnes
214,Dominican Republic,18,0,0,0,0,0,sugarnes
643,Russia,19,0.0013676095913979225,0,0,0,0,sugarnes
044,The Bahamas,20,0,0,0,0,0,sugarnes
238,United Kingdom,21,0,0,0,0,0,sugarnes
578,Norway,22,0,0,0,0,0,sugarnes
304,Denmark,23,0,0,0,0,0,sugarnes
260,France,24,0,0,0,0,0,sugarnes
626,East Timor,25,6.220191717147827,0,0,0,0,sugarnes
710,South Africa,26,0,0,0,0,0,sugarnes
426,Lesotho,27,0,0,0,0,0,sugarnes
484,Mexico,28,1.225247733057833e-39,0,0,0,0,sugarnes
858,Uruguay,29,0,0,0,0,0,sugarnes
076,Brazil,30,0.006845470565352493,0,0,0,0,sugarnes
068,Bolivia,31,46.757234662771225,0,0,0,0,sugarnes
604,Peru,32,14.913775140419602,0,0,0,0,sugarnes
170,Colombia,33,2.1345771016387687,0,0,0,0,sugarnes
591,Panama,34,0,0,0,0,0,sugarnes
188,Costa Rica,35,0,0,0,0,0,sugarnes
558,Nicaragua,36,0,0,0,0,0,sugarnes
340,Honduras,37,0,0,0,0,0,sugarnes
222,El Salvador,38,0,0,0,0,0,sugarnes
320,Guatemala,39,0,0,0,0,0,sugarnes
084,Belize,40,0,0,0,0,0,sugarnes
862,Venezuela,41,831.98046367808,0,0,0,0,sugarnes
328,Guyana,42,0.0231172451749444,0,0,0,0,sugarnes
740,Suriname,43,0,0,0,0,0,sugarnes
250,France,44,3.523203160249188e-35,0,0,0,0,sugarnes
218,Ecuador,45,549.0099046297969,0,0,0,0,sugarnes
630,United States of America,46,0,0,0,0,0,sugarnes
388,Jamaica,47,0,0,0,0,0,sugarnes
192,Cuba,48,0,0,0,0,0,sugarnes
716,Zimbabwe,49,0,0,0,0,0,sugarnes
072,Botswana,50,0,0,0,0,0,sugarnes
516,Namibia,51,0,0,0,0,0,sugarnes
686,Senegal,52,0,0,0,0,0,sugarnes
466,Mali,53,0,0,0,0,0,sugarnes
478,Mauritania,54,0,0,0,0,0,sugarnes
204,Benin,55,0,0,0,0,0,sugarnes
562,Niger,56,0,0,0,0,0,sugarnes
566,Nigeria,57,0,0,0,0,0,sugarnes
120,Cameroon,58,0,0,0,0,0,sugarnes
768,Togo,59,0,0,0,0,0,sugarnes
288,Ghana,60,0,0,0,0,0,sugarnes
384,Ivory Coast,61,0,0,0,0,0,sugarnes
324,Guinea,62,0,0,0,0,0,sugarnes
624,Guinea-Bissau,63,0,0,0,0,0,sugarnes
430,Liberia,64,0,0,0,0,0,sugarnes
694,Sierra Leone,65,0,0,0,0,0,sugarnes
854,Burkina Faso,66,0,0,0,0,0,sugarnes
140,Central African Republic,67,0,0,0,0,0,sugarnes
178,Republic of the Congo,68,0,0,0,0,0,sugarnes
266,Gabon,69,0,0,0,0,0,sugarnes
226,Equatorial Guinea,70,0,0,0,0,0,sugarnes
894,Zambia,71,0,0,0,0,0,sugarnes
454,Malawi,72,0,0,0,0,0,sugarnes
508,Mozambique,73,0,0,0,0,0,sugarnes
748,eSwatini,74,0,0,0,0,0,sugarnes
024,Angola,75,0,0,0,0,0,sugarnes
108,Burundi,76,0,0,0,0,0,sugarnes
376,Israel,77,0.007978891837410629,0,0,0,0,sugarnes
422,Lebanon,78,2.7628298578811455e-37,0,0,0,0,sugarnes
450,Madagascar,79,0,0,0,0,0,sugarnes
275,Israel,80,8.979520559393428e-42,0,0,0,0,sugarnes
270,Gambia,81,0,0,0,0,0,sugarnes
788,Tunisia,82,1467.2516096532345,0,0,0,0,sugarnes
012,Algeria,83,4.54519510269165,0,0,0,0,sugarnes
400,Jordan,84,3.3291488396043274e-40,0,0,0,0,sugarnes
784,United Arab Emirates,85,0,0,0,0,0,sugarnes
634,Qatar,86,0,0,0,0,0,sugarnes
414,Kuwait,87,0,0,0,0,0,sugarnes
368,Iraq,88,9.38456728180498e-39,0,0,0,0,sugarnes
512,Oman,89,0,0,0,0,0,sugarnes
548,Vanuatu,90,0,0,0,0,0,sugarnes
116,Cambodia,91,0,0,0,0,0,sugarnes
764,Thailand,92,718.4786949157715,0,0,0,0,sugarnes
418,Laos,93,31.263176381587982,0,0,0,0,sugarnes
104,Myanmar,94,270632.9285752028,459358.42999999935,1791497876999.9973,0,0,sugarnes
704,Vietnam,95,0,0,0,0,0,sugarnes
408,North Korea,96,0,0,0,0,0,sugarnes
410,South Korea,97,0,0,0,0,0,sugarnes
496,Mongolia,98,0,0,0,0,0,sugarnes
356,India,99,12618.215844869614,0,0,0,0,sugarnes
050,Bangladesh,100,283453.02603173256,198913.99999999997,775764599999.9999,0,0,sugarnes
064,Bhutan,101,0,0,0,0,0,sugarnes
524,Nepal,102,0,0,0,0,0,sugarnes
586,Pakistan,103,0,0,0,0,0,sugarnes
004,Afghanistan,104,268.24206414818764,0,0,0,0,sugarnes
762,Tajikistan,105,5.244066631356584e-39,0,0,0,0,sugarnes
417,Kyrgyzstan,106,2194.742925822735,0,0,0,0,sugarnes
795,Turkmenistan,107,14479.178284421563,0,0,0,0,sugarnes
364,Iran,108,138.87599158287048,0,0,0,0,sugarnes
760,Syria,109,318.927649974823,0,0,0,0,sugarnes
051,Armenia,110,11.038405554369092,0,0,0,0,sugarnes
752,Sweden,111,2.4104504001526308e-36,0,0,0,0,sugarnes
112,Belarus,112,1.8375218340887556e-36,0,0,0,0,sugarnes
804,Ukraine,113,0.023014234378933907,0,0,0,0,sugarnes
616,Poland,114,1.3723316125223686e-35,0,0,0,0,sugarnes
040,Austria,115,3.437741165093503e-36,0,0,0,0,sugarnes
348,Hungary,116,3.7690854050714954e-36,0,0,0,0,sugarnes
498,Moldova,117,1.4441181881277202e-36,0,0,0,0,sugarnes
642,Romania,118,25.455509644001722,0,0,0,0,sugarnes
440,Lithuania,119,1.2516655820357594e-36,0,0,0,0,sugarnes
428,Latvia,120,4.060840588231415e-37,0,0,0,0,sugarnes
233,Estonia,121,1.482014168650494,0,0,0,0,sugarnes
276,Germany,122,97.54463195800781,0,0,0,0,sugarnes
100,Bulgaria,123,1.2320348801308363e-37,0,0,0,0,sugarnes
300,Greece,124,2.812591998232093e-36,0,0,0,0,sugarnes
792,Turkey,125,0.14670420018956065,0,0,0,0,sugarnes
008,Albania,126,5.267318516904972e-38,0,0,0,0,sugarnes
191,Croatia,127,1.411141816723842e-36,0,0,0,0,sugarnes
756,Switzerland,128,1.2870122624037293e-36,0,0,0,0,sugarnes
442,Luxembourg,129,1.9453697204589844,0,0,0,0,sugarnes
056,Belgium,130,7.882966217776124e-36,0,0,0,0,sugarnes
528,Netherlands,131,7.319389558930746e-36,0,0,0,0,sugarnes
620,Portugal,132,3.7031054154163986e-37,0,0,0,0,sugarnes
724,Spain,133,1.0560200270090836e-35,0,0,0,0,sugarnes
372,Ireland,134,27317.60249388963,0,0,0,0,sugarnes
540,France,135,0,0,0,0,0,sugarnes
090,Solomon Islands,136,0,0,0,0,0,sugarnes
554,New Zealand,137,0,0,0,0,0,sugarnes
036,Australia,138,4.977555774170448e-35,0,0,0,0,sugarnes
144,Sri Lanka,139,0,0,0,0,0,sugarnes
156,China,140,2970.935415521264,0,0,0,0,sugarnes
158,Taiwan,141,0,0,0,0,0,sugarnes
380,Italy,142,1.475177369814646e-35,0,0,0,0,sugarnes
208,Denmark,143,4864.565489768982,0,0,0,0,sugarnes
826,United Kingdom,144,74992.94550884189,0,0,0,0,sugarnes
352,Iceland,145,0,0,0,0,0,sugarnes
031,Azerbaijan,146,366.6371803432703,0,0,0,0,sugarnes
268,Georgia,147,1.1194255966677229e-38,0,0,0,0,sugarnes
608,Philippines,148,0,0,0,0,0,sugarnes
458,Malaysia,149,451.925167798996,0,0,0,0,sugarnes
096,Brunei,150,0,0,0,0,0,sugarnes
705,Slovenia,151,3.672865114296576e-37,0,0,0,0,sugarnes
