ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,NA,NA,NA,rubber
834,United Republic of Tanzania,2,0,0,NA,NA,NA,rubber
732,Western Sahara,3,0,0,NA,NA,NA,rubber
124,Canada,4,0,0,NA,NA,NA,rubber
840,United States of America,5,73.36256705363485,0,NA,NA,NA,rubber
398,Kazakhstan,6,5926.21201399979,0,NA,NA,NA,rubber
860,Uzbekistan,7,7685.216317752376,0,NA,NA,NA,rubber
598,Papua New Guinea,8,4689.86151071405,0,NA,NA,NA,rubber
360,Indonesia,9,1587947.5802333504,0,NA,NA,NA,rubber
032,Argentina,10,0,0,NA,NA,NA,rubber
152,Chile,11,0,0,NA,NA,NA,rubber
180,Democratic Republic of the Congo,12,6561.8874589030165,0,NA,NA,NA,rubber
706,Somalia,13,0,0,NA,NA,NA,rubber
404,Kenya,14,0,0,NA,NA,NA,rubber
729,Sudan,15,0.8304208815097809,0,NA,NA,NA,rubber
148,Chad,16,4.956244021770544,0,NA,NA,NA,rubber
332,Haiti,17,0,0,NA,NA,NA,rubber
214,Dominican Republic,18,0,0,NA,NA,NA,rubber
643,Russia,19,1319.4153798458883,0,NA,NA,NA,rubber
044,The Bahamas,20,0,0,NA,NA,NA,rubber
238,United Kingdom,21,0,0,NA,NA,NA,rubber
578,Norway,22,0,0,NA,NA,NA,rubber
304,Denmark,23,0,0,NA,NA,NA,rubber
260,France,24,0,0,NA,NA,NA,rubber
626,East Timor,25,53.78653144836426,0,NA,NA,NA,rubber
710,South Africa,26,0,0,NA,NA,NA,rubber
426,Lesotho,27,0,0,NA,NA,NA,rubber
484,Mexico,28,21816.390232261012,0,NA,NA,NA,rubber
858,Uruguay,29,0,0,NA,NA,NA,rubber
076,Brazil,30,68944.29970673533,0,NA,NA,NA,rubber
068,Bolivia,31,103.2486975453794,0,NA,NA,NA,rubber
604,Peru,32,18.98817177116871,0,NA,NA,NA,rubber
170,Colombia,33,2.4124637025088305,0,NA,NA,NA,rubber
591,Panama,34,0,0,NA,NA,NA,rubber
188,Costa Rica,35,0,0,NA,NA,NA,rubber
558,Nicaragua,36,0,0,NA,NA,NA,rubber
340,Honduras,37,34.757904052734375,0,NA,NA,NA,rubber
222,El Salvador,38,42.64278793334961,0,NA,NA,NA,rubber
320,Guatemala,39,42451.871874563396,0,NA,NA,NA,rubber
