ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,kiwi
834,United Republic of Tanzania,2,0,0,0,0,0,kiwi
732,Western Sahara,3,0,0,0,0,0,kiwi
124,Canada,4,170.121749704568,27.47999999999983,14289599.999999912,109919.99999999933,247319.9999999985,kiwi
840,United States of America,5,27132.89060359539,36289.9999999999,18870799999.999947,145159999.9999996,326609999.9999991,kiwi
398,Kazakhstan,6,1.358983182348311,0,0,0,0,kiwi
860,Uzbekistan,7,10.76210255897604,0,0,0,0,kiwi
598,Papua New Guinea,8,0,0,0,0,0,kiwi
360,Indonesia,9,0,0,0,0,0,kiwi
032,Argentina,10,296.92528942227364,0,0,0,0,kiwi
152,Chile,11,126663.12124444544,140736.5199999999,73182990399.99995,562946079.9999996,1266628679.9999993,kiwi
180,Democratic Republic of the Congo,12,0,0,0,0,0,kiwi
706,Somalia,13,0,0,0,0,0,kiwi
404,Kenya,14,0,0,0,0,0,kiwi
729,Sudan,15,0,0,0,0,0,kiwi
148,Chad,16,0,0,0,0,0,kiwi
332,Haiti,17,0,0,0,0,0,kiwi
214,Dominican Republic,18,0,0,0,0,0,kiwi
643,Russia,19,0,0,0,0,0,kiwi
044,The Bahamas,20,0,0,0,0,0,kiwi
238,United Kingdom,21,0,0,0,0,0,kiwi
578,Norway,22,0,0,0,0,0,kiwi
304,Denmark,23,0,0,0,0,0,kiwi
260,France,24,0,0,0,0,0,kiwi
626,East Timor,25,0,0,0,0,0,kiwi
710,South Africa,26,0,0,0,0,0,kiwi
426,Lesotho,27,0,0,0,0,0,kiwi
484,Mexico,28,0.02161048073321581,0,0,0,0,kiwi
858,Uruguay,29,0,0,0,0,0,kiwi
076,Brazil,30,0,0,0,0,0,kiwi
068,Bolivia,31,0,0,0,0,0,kiwi
604,Peru,32,0,0,0,0,0,kiwi
170,Colombia,33,0,0,0,0,0,kiwi
591,Panama,34,0,0,0,0,0,kiwi
188,Costa Rica,35,0,0,0,0,0,kiwi
