ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,coffee
834,United Republic of Tanzania,2,41667.69773826189,60651.00000000007,28505970000.000034,0,4063617000.000005,coffee
732,Western Sahara,3,0,0,0,0,0,coffee
124,Canada,4,0,0,0,0,0,coffee
840,United States of America,5,0,0,0,0,0,coffee
398,Kazakhstan,6,1823.2596048010946,0,0,0,0,coffee
860,Uzbekistan,7,30642.44796776952,0,0,0,0,coffee
598,Papua New Guinea,8,40572.58418443799,40499.99999999992,19034999999.99996,0,2713499999.9999948,coffee
360,Indonesia,9,515512.69615835947,762380.0000000009,358318600000.0004,0,51079460000.00007,coffee
032,Argentina,10,21.19034660438774,0,0,0,0,coffee
152,Chile,11,0,0,0,0,0,coffee
180,Democratic Republic of the Congo,12,44113.440257879905,53303.00000000019,25052410000.00009,0,3571301000.000013,coffee
706,Somalia,13,0.625670313835144,0,0,0,0,coffee
404,Kenya,14,52333.570910502225,36899.99999999994,17342999999.999973,0,2472299999.999996,coffee
729,Sudan,15,237.43657112121582,0,0,0,0,coffee
148,Chad,16,0,0,0,0,0,coffee
332,Haiti,17,27463.254067897797,4594.999999999998,2159649999.9999995,0,307864999.9999999,coffee
214,Dominican Republic,18,44873.48853814602,15380.930000000008,7229037100.000004,0,1030522310.0000006,coffee
643,Russia,19,175783.0123455334,0,0,0,0,coffee
044,The Bahamas,20,0,0,0,0,0,coffee
238,United Kingdom,21,0,0,0,0,0,coffee
578,Norway,22,0,0,0,0,0,coffee
304,Denmark,23,0,0,0,0,0,coffee
260,France,24,0,0,0,0,0,coffee
626,East Timor,25,11022.227481126785,9040.599999999997,4249081999.9999986,0,605720199.9999998,coffee
710,South Africa,26,95.5832086019218,0,0,0,0,coffee
426,Lesotho,27,0,0,0,0,0,coffee
484,Mexico,28,311394.5127443433,175554.62000000002,82510671400.00002,0,11762159540.000002,coffee
858,Uruguay,29,0,0,0,0,0,coffee
076,Brazil,30,1731879.106855841,3705718.999999971,1741687929999.9863,0,248283172999.99808,coffee
068,Bolivia,31,23446.618070277502,23401.000000000047,10998470000.000023,0,1567867000.0000033,coffee
604,Peru,32,123843.27073146425,353205.74000000133,166006697800.00064,0,23664784580.00009,coffee
170,Colombia,33,627659.6035795794,833399.9999999994,391697999999.99976,0,55837799999.99996,coffee
591,Panama,34,11862.686241550371,6254.0000000000055,2939380000.0000024,0,419018000.00000036,coffee
188,Costa Rica,35,139408.43167439103,86790.99999999985,40791769999.99993,0,5814996999.99999,coffee
558,Nicaragua,36,74552.36169451848,154409.87000000002,72572638900.00002,0,10345461290.000002,coffee
340,Honduras,37,174126.82480978966,364552.37999999983,171339618599.9999,0,24425009459.99999,coffee
222,El Salvador,38,111186.0267663002,35000,16450000000,0,2345000000,coffee
320,Guatemala,39,239659.64331829548,246000.00000000023,115620000000.0001,0,16482000000.000017,coffee
084,Belize,40,104.1381216543814,89.54000000000005,42083800.00000002,0,5999180.000000004,coffee
862,Venezuela,41,74153.55717530995,54241.99999999991,25493739999.99996,0,3634213999.9999943,coffee
328,Guyana,42,119.1274004947918,600,282000000,0,40200000,coffee
740,Suriname,43,5.11463041909883,5.760000000000003,2707200.000000002,0,385920.00000000023,coffee
250,France,44,1035.670313315466,0,0,0,0,coffee
218,Ecuador,45,102268.20197094785,5280.289999999994,2481736299.9999967,0,353779429.9999996,coffee
630,United States of America,46,9096.375296711922,1627.3599999999997,764859199.9999999,0,109033119.99999999,coffee
388,Jamaica,47,2428.7128170132637,6200.999999999998,2914469999.9999995,0,415466999.99999994,coffee
192,Cuba,48,16319.099276281893,7499.999999999996,3524999999.9999986,0,502499999.9999998,coffee
716,Zimbabwe,49,8115.057677912526,660.4900000000013,310430300.0000006,0,44252830.00000009,coffee
072,Botswana,50,36.63778904080391,0,0,0,0,coffee
516,Namibia,51,11.718480500392616,0,0,0,0,coffee
686,Senegal,52,0,0,0,0,0,coffee
466,Mali,53,1.0705198697251035,0,0,0,0,coffee
478,Mauritania,54,0,0,0,0,0,coffee
204,Benin,55,117.15151131652237,54.97999999999996,25840599.999999985,0,3683659.9999999977,coffee
562,Niger,56,0.7132605640217662,0,0,0,0,coffee
566,Nigeria,57,2492.5728626152268,1932.6700000000012,908354900.0000005,0,129488890.00000007,coffee
120,Cameroon,58,54528.2441190267,29792.900000000016,14002663000.000008,0,1996124300.0000012,coffee
768,Togo,59,14761.033907385776,22006,10342820000,0,1474402000,coffee
288,Ghana,60,4288.543175330386,735.9999999999991,345919999.9999996,0,49311999.99999994,coffee
384,Ivory Coast,61,248711.47082127072,82366,38712020000,0,5518522000,coffee
324,Guinea,62,18208.640615547192,242682.00000000012,114060540000.00005,0,16259694000.000008,coffee
624,Guinea-Bissau,63,0,0,0,0,0,coffee
430,Liberia,64,1981.077389486134,624.9800000000006,293740600.00000024,0,41873660.00000004,coffee
694,Sierra Leone,65,15488.713109907694,2400.0000000000005,1128000000.0000002,0,160800000.00000003,coffee
854,Burkina Faso,66,0.24582673609256744,0,0,0,0,coffee
140,Central African Republic,67,10299.056208599359,289283.29999999964,135963150999.99982,0,19381981099.999973,coffee
178,Republic of the Congo,68,1452.7828236734495,3122.0799999999986,1467377599.9999993,0,209179359.9999999,coffee
266,Gabon,69,261.1164929252118,103.69000000000013,48734300.00000006,0,6947230.000000008,coffee
226,Equatorial Guinea,70,3185.63321352005,4157.4800000000005,1954015600.0000002,0,278551160.00000006,coffee
894,Zambia,71,4318.720780550502,8648.170000000004,4064639900.0000014,0,579427390.0000002,coffee
454,Malawi,72,2613.5767210908234,10000.000000000018,4700000000.000009,0,670000000.0000012,coffee
