ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,brazil
834,United Republic of Tanzania,2,44124.93690723181,0,0,0,0,brazil
732,Western Sahara,3,0,0,0,0,0,brazil
124,Canada,4,0,0,0,0,0,brazil
840,United States of America,5,0.14825828307010624,0,0,0,0,brazil
398,Kazakhstan,6,189.52976631333877,0,0,0,0,brazil
860,Uzbekistan,7,3132.0916206007823,0,0,0,0,brazil
598,Papua New Guinea,8,4858.342354771448,0,0,0,0,brazil
360,Indonesia,9,2111.1363786947913,0,0,0,0,brazil
032,Argentina,10,0,0,0,0,0,brazil
152,Chile,11,0,0,0,0,0,brazil
180,Democratic Republic of the Congo,12,10707.195418424904,0,0,0,0,brazil
706,Somalia,13,40.936463087797165,0,0,0,0,brazil
404,Kenya,14,69542.02576594055,0,0,0,0,brazil
729,Sudan,15,40094.99522440508,0,0,0,0,brazil
148,Chad,16,1.6790162017754953e-38,0,0,0,0,brazil
332,Haiti,17,0,0,0,0,0,brazil
214,Dominican Republic,18,0,0,0,0,0,brazil
643,Russia,19,13124.243315000842,0,0,0,0,brazil
044,The Bahamas,20,0,0,0,0,0,brazil
238,United Kingdom,21,0,0,0,0,0,brazil
578,Norway,22,0,0,0,0,0,brazil
304,Denmark,23,0,0,0,0,0,brazil
260,France,24,0,0,0,0,0,brazil
626,East Timor,25,0.07087115570902824,0,0,0,0,brazil
710,South Africa,26,19009.94751985941,0,0,0,0,brazil
426,Lesotho,27,0,0,0,0,0,brazil
484,Mexico,28,44.08870447504083,0,0,0,0,brazil
858,Uruguay,29,0,0,0,0,0,brazil
076,Brazil,30,0.1604101242046454,33118,104321700000,10531524000,2285142000,brazil
068,Bolivia,31,0.08509657510148827,30843,97155450000,9808074000,2128167000,brazil
604,Peru,32,509.4530411250598,6999.999999999972,22049999999.999912,2225999999.999991,482999999.9999981,brazil
170,Colombia,33,0.13721587124746293,0,0,0,0,brazil
591,Panama,34,0,0,0,0,0,brazil
188,Costa Rica,35,0,0,0,0,0,brazil
