ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,artichoke
834,United Republic of Tanzania,2,0,0,0,0,0,artichoke
732,Western Sahara,3,0,0,0,0,0,artichoke
124,Canada,4,0,0,0,0,0,artichoke
840,United States of America,5,50701.10210741247,34700,6940000000,34700000,381700000.00000006,artichoke
398,Kazakhstan,6,42.16154637200265,632.3600000000009,126472000.00000018,632360.0000000009,6955960.000000011,artichoke
860,Uzbekistan,7,928.9353122673419,3810.699999999991,762139999.9999982,3810699.999999991,41917699.9999999,artichoke
598,Papua New Guinea,8,0,0,0,0,0,artichoke
360,Indonesia,9,0,0,0,0,0,artichoke
032,Argentina,10,81459.23960786615,35499.99999999973,7099999999.999947,35499999.99999973,390499999.9999971,artichoke
152,Chile,11,24042.811281247472,10437.939999999986,2087587999.9999974,10437939.999999987,114817339.99999987,artichoke
180,Democratic Republic of the Congo,12,0,0,0,0,0,artichoke
706,Somalia,13,0,0,0,0,0,artichoke
404,Kenya,14,0,0,0,0,0,artichoke
729,Sudan,15,0,0,0,0,0,artichoke
148,Chad,16,0,0,0,0,0,artichoke
332,Haiti,17,0,0,0,0,0,artichoke
214,Dominican Republic,18,0,0,0,0,0,artichoke
643,Russia,19,2.573317508766195,0,0,0,0,artichoke
044,The Bahamas,20,0,0,0,0,0,artichoke
238,United Kingdom,21,0,0,0,0,0,artichoke
578,Norway,22,0,0,0,0,0,artichoke
304,Denmark,23,0,0,0,0,0,artichoke
260,France,24,0,0,0,0,0,artichoke
626,East Timor,25,0,0,0,0,0,artichoke
710,South Africa,26,1.773271786980331,0,0,0,0,artichoke
426,Lesotho,27,0,0,0,0,0,artichoke
484,Mexico,28,4178.097822646986,3423.449999999994,684689999.9999988,3423449.9999999944,37657949.99999994,artichoke
858,Uruguay,29,1.1134281754493713,0,0,0,0,artichoke
076,Brazil,30,54.145700415276224,0,0,0,0,artichoke
068,Bolivia,31,26.79128508939175,0,0,0,0,artichoke
604,Peru,32,4827.857747416303,82095.81999999995,16419163999.99999,82095819.99999996,903054019.9999995,artichoke
170,Colombia,33,1.2983774142339826,0,0,0,0,artichoke
591,Panama,34,0,0,0,0,0,artichoke
188,Costa Rica,35,0,0,0,0,0,artichoke
558,Nicaragua,36,0,0,0,0,0,artichoke
340,Honduras,37,0,0,0,0,0,artichoke
222,El Salvador,38,0,0,0,0,0,artichoke
320,Guatemala,39,0,0,0,0,0,artichoke
084,Belize,40,0,0,0,0,0,artichoke
862,Venezuela,41,0,0,0,0,0,artichoke
328,Guyana,42,0,0,0,0,0,artichoke
740,Suriname,43,0,0,0,0,0,artichoke
250,France,44,65567.23441047594,26830.00000000002,5366000000.000004,26830000.00000002,295130000.00000024,artichoke
218,Ecuador,45,13.685557190328836,0,0,0,0,artichoke
630,United States of America,46,0,0,0,0,0,artichoke
388,Jamaica,47,0,0,0,0,0,artichoke
192,Cuba,48,0,0,0,0,0,artichoke
716,Zimbabwe,49,152.51180489338003,303.88000000000017,60776000.00000004,303880.0000000002,3342680.0000000023,artichoke
072,Botswana,50,0.6896051171934232,0,0,0,0,artichoke
516,Namibia,51,0,0,0,0,0,artichoke
686,Senegal,52,0,0,0,0,0,artichoke
466,Mali,53,0,0,0,0,0,artichoke
478,Mauritania,54,0,0,0,0,0,artichoke
204,Benin,55,0,0,0,0,0,artichoke
562,Niger,56,0,0,0,0,0,artichoke
