ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,tung
834,United Republic of Tanzania,2,0.652129203081131,0,0,0,0,tung
732,Western Sahara,3,0,0,0,0,0,tung
124,Canada,4,10.93683461472392,0,0,0,0,tung
840,United States of America,5,9.985512336967076,0,0,0,0,tung
398,Kazakhstan,6,10539.663168593674,0,0,0,0,tung
860,Uzbekistan,7,1564.1610915667843,0,0,0,0,tung
598,Papua New Guinea,8,0,0,0,0,0,tung
360,Indonesia,9,0,0,0,0,0,tung
032,Argentina,10,33215.584501929654,5612.7000000000035,49616268000.00003,5612700000.000004,0,tung
152,Chile,11,7.713066815995262,0,0,0,0,tung
180,Democratic Republic of the Congo,12,0,0,0,0,0,tung
706,Somalia,13,0,0,0,0,0,tung
404,Kenya,14,0,0,0,0,0,tung
729,Sudan,15,0,0,0,0,0,tung
148,Chad,16,0,0,0,0,0,tung
332,Haiti,17,0,0,0,0,0,tung
214,Dominican Republic,18,0,0,0,0,0,tung
643,Russia,19,151317.3966938228,0,0,0,0,tung
044,The Bahamas,20,0,0,0,0,0,tung
238,United Kingdom,21,0,0,0,0,0,tung
578,Norway,22,3833.9801674766622,0,0,0,0,tung
304,Denmark,23,0,0,0,0,0,tung
260,France,24,0,0,0,0,0,tung
626,East Timor,25,0,0,0,0,0,tung
710,South Africa,26,0,0,0,0,0,tung
426,Lesotho,27,0,0,0,0,0,tung
484,Mexico,28,4345.3707823812865,0,0,0,0,tung
858,Uruguay,29,0.7881855964660645,0,0,0,0,tung
076,Brazil,30,596.599610261215,269.99999999999983,2386799999.9999986,269999999.9999998,0,tung
068,Bolivia,31,20.865306020481512,0,0,0,0,tung
604,Peru,32,0,0,0,0,0,tung
170,Colombia,33,0,0,0,0,0,tung
591,Panama,34,0,0,0,0,0,tung
188,Costa Rica,35,0,0,0,0,0,tung
558,Nicaragua,36,0,0,0,0,0,tung
340,Honduras,37,0,0,0,0,0,tung
222,El Salvador,38,0,0,0,0,0,tung
320,Guatemala,39,4.647702857851982,0,0,0,0,tung
084,Belize,40,0,0,0,0,0,tung
862,Venezuela,41,0,0,0,0,0,tung
328,Guyana,42,0,0,0,0,0,tung
740,Suriname,43,0,0,0,0,0,tung
250,France,44,10.283780336380005,0,0,0,0,tung
218,Ecuador,45,0,0,0,0,0,tung
630,United States of America,46,0,0,0,0,0,tung
388,Jamaica,47,0,0,0,0,0,tung
192,Cuba,48,0,0,0,0,0,tung
716,Zimbabwe,49,0,0,0,0,0,tung
072,Botswana,50,0,0,0,0,0,tung
516,Namibia,51,0,0,0,0,0,tung
686,Senegal,52,0,0,0,0,0,tung
466,Mali,53,0,0,0,0,0,tung
478,Mauritania,54,0,0,0,0,0,tung
204,Benin,55,0,0,0,0,0,tung
562,Niger,56,0,0,0,0,0,tung
566,Nigeria,57,0,0,0,0,0,tung
120,Cameroon,58,0,0,0,0,0,tung
768,Togo,59,0,0,0,0,0,tung
288,Ghana,60,0,0,0,0,0,tung
384,Ivory Coast,61,0,0,0,0,0,tung
324,Guinea,62,0,0,0,0,0,tung
624,Guinea-Bissau,63,0,0,0,0,0,tung
430,Liberia,64,0,0,0,0,0,tung
694,Sierra Leone,65,0,0,0,0,0,tung
854,Burkina Faso,66,0,0,0,0,0,tung
140,Central African Republic,67,0,0,0,0,0,tung
178,Republic of the Congo,68,0,0,0,0,0,tung
266,Gabon,69,0,0,0,0,0,tung
226,Equatorial Guinea,70,0,0,0,0,0,tung
894,Zambia,71,15.44755607843399,0,0,0,0,tung
454,Malawi,72,1284.7929832357913,4596.2300000000005,40630673200.00001,4596230000.000001,0,tung
508,Mozambique,73,78.20087618939579,0,0,0,0,tung
748,eSwatini,74,0,0,0,0,0,tung
024,Angola,75,0,0,0,0,0,tung
108,Burundi,76,0,0,0,0,0,tung
376,Israel,77,0,0,0,0,0,tung
422,Lebanon,78,0,0,0,0,0,tung
450,Madagascar,79,2391.8461557773408,2714.5200000000023,23996356800.00002,2714520000.0000024,0,tung
275,Israel,80,0,0,0,0,0,tung
270,Gambia,81,0,0,0,0,0,tung
788,Tunisia,82,0,0,0,0,0,tung
012,Algeria,83,0,0,0,0,0,tung
400,Jordan,84,0,0,0,0,0,tung
784,United Arab Emirates,85,0,0,0,0,0,tung
634,Qatar,86,0,0,0,0,0,tung
414,Kuwait,87,0,0,0,0,0,tung
368,Iraq,88,0.34436740376986563,0,0,0,0,tung
512,Oman,89,0,0,0,0,0,tung
548,Vanuatu,90,0,0,0,0,0,tung
116,Cambodia,91,0,0,0,0,0,tung
764,Thailand,92,0,0,0,0,0,tung
418,Laos,93,0,0,0,0,0,tung
104,Myanmar,94,82.53398187831044,0,0,0,0,tung
704,Vietnam,95,165.74735128879547,0,0,0,0,tung
408,North Korea,96,122.79859241843224,0,0,0,0,tung
410,South Korea,97,0,0,0,0,0,tung
496,Mongolia,98,21.7664038464427,0,0,0,0,tung
356,India,99,12.853444514097646,0,0,0,0,tung
