ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,pimento
834,United Republic of Tanzania,2,5727.5611135168,0,0,0,0,pimento
732,Western Sahara,3,0,0,0,0,0,pimento
124,Canada,4,0,0,0,0,0,pimento
840,United States of America,5,91.8794271076622,0,0,0,0,pimento
398,Kazakhstan,6,320.6247558232785,0,0,0,0,pimento
860,Uzbekistan,7,2969.7453995667165,0,0,0,0,pimento
598,Papua New Guinea,8,0,0,0,0,0,pimento
360,Indonesia,9,5.317298583686352,0,0,0,0,pimento
032,Argentina,10,3074.0716876799834,0,0,0,0,pimento
152,Chile,11,0.7181084257190378,0,0,0,0,pimento
180,Democratic Republic of the Congo,12,30753.535673736013,0,0,0,0,pimento
706,Somalia,13,3.195316821336746,0,0,0,0,pimento
404,Kenya,14,4995.853647954762,0,0,0,0,pimento
729,Sudan,15,4676.061528780032,0,0,0,0,pimento
148,Chad,16,96.33166178979445,0,0,0,0,pimento
332,Haiti,17,0,0,0,0,0,pimento
214,Dominican Republic,18,0,0,0,0,0,pimento
643,Russia,19,99.92593083484098,0,0,0,0,pimento
044,The Bahamas,20,0,0,0,0,0,pimento
238,United Kingdom,21,0,0,0,0,0,pimento
578,Norway,22,0,0,0,0,0,pimento
304,Denmark,23,0,0,0,0,0,pimento
260,France,24,0,0,0,0,0,pimento
626,East Timor,25,0,0,0,0,0,pimento
710,South Africa,26,9683.856995674898,0,0,0,0,pimento
426,Lesotho,27,6.367681950330734,0,0,0,0,pimento
484,Mexico,28,56961.9062888818,0,0,0,0,pimento
858,Uruguay,29,0.04203156102448702,0,0,0,0,pimento
076,Brazil,30,3.4190024636336602,0,0,0,0,pimento
068,Bolivia,31,0.7823308528313646,0,0,0,0,pimento
604,Peru,32,4548.956307828426,0,0,0,0,pimento
170,Colombia,33,1.2252138897310942,0,0,0,0,pimento
591,Panama,34,0,0,0,0,0,pimento
188,Costa Rica,35,0,0,0,0,0,pimento
558,Nicaragua,36,0,0,0,0,0,pimento
340,Honduras,37,0,0,0,0,0,pimento
222,El Salvador,38,0,0,0,0,0,pimento
320,Guatemala,39,42.76478260755539,0,0,0,0,pimento
084,Belize,40,0,0,0,0,0,pimento
862,Venezuela,41,0,0,0,0,0,pimento
328,Guyana,42,0,0,0,0,0,pimento
740,Suriname,43,0,0,0,0,0,pimento
250,France,44,7.756507208570838,0,0,0,0,pimento
218,Ecuador,45,12.914376590400934,0,0,0,0,pimento
630,United States of America,46,0,0,0,0,0,pimento
388,Jamaica,47,10006.447002410889,0,0,0,0,pimento
192,Cuba,48,0,0,0,0,0,pimento
716,Zimbabwe,49,14956.549610274844,0,0,0,0,pimento
072,Botswana,50,71.81182106118649,0,0,0,0,pimento
516,Namibia,51,0.23241010075435042,0,0,0,0,pimento
686,Senegal,52,4271.529279786162,0,0,0,0,pimento
466,Mali,53,2657.7881776289287,0,0,0,0,pimento
478,Mauritania,54,78.1457021087408,0,0,0,0,pimento
204,Benin,55,13391.746920011938,0,0,0,0,pimento
562,Niger,56,504.5619942987105,0,0,0,0,pimento
566,Nigeria,57,45240.7170346342,0,0,0,0,pimento
120,Cameroon,58,6422.200351702981,0,0,0,0,pimento
768,Togo,59,2896.7444438412786,0,0,0,0,pimento
288,Ghana,60,20817.462152719498,0,0,0,0,pimento
384,Ivory Coast,61,13837.26275931485,0,0,0,0,pimento
324,Guinea,62,63.439345315564424,0,0,0,0,pimento
624,Guinea-Bissau,63,34.264623031020164,0,0,0,0,pimento
430,Liberia,64,0.9799139499664307,0,0,0,0,pimento
694,Sierra Leone,65,2367.591254219413,0,0,0,0,pimento
854,Burkina Faso,66,131.27451987215318,0,0,0,0,pimento
140,Central African Republic,67,203.77963984099915,0,0,0,0,pimento
178,Republic of the Congo,68,10.021135527640581,0,0,0,0,pimento
266,Gabon,69,1.3207247257232666,0,0,0,0,pimento
226,Equatorial Guinea,70,16.883705139160156,0,0,0,0,pimento
894,Zambia,71,779.5794837884605,0,0,0,0,pimento
454,Malawi,72,1291.4787855762988,0,0,0,0,pimento
508,Mozambique,73,1128.6728979845066,0,0,0,0,pimento
748,eSwatini,74,13.376597702503204,0,0,0,0,pimento
024,Angola,75,212.6087013676297,0,0,0,0,pimento
108,Burundi,76,40.483574107289314,0,0,0,0,pimento
376,Israel,77,0.12680979538708925,0,0,0,0,pimento
422,Lebanon,78,0.03613580553792417,0,0,0,0,pimento
450,Madagascar,79,3173.6000466333935,0,0,0,0,pimento
275,Israel,80,0,0,0,0,0,pimento
270,Gambia,81,123.73808318376541,0,0,0,0,pimento
788,Tunisia,82,6259.926650077105,0,0,0,0,pimento
012,Algeria,83,7211.246014729142,0,0,0,0,pimento
400,Jordan,84,0.0013241785345599055,0,0,0,0,pimento
784,United Arab Emirates,85,0,0,0,0,0,pimento
634,Qatar,86,0,0,0,0,0,pimento
414,Kuwait,87,0,0,0,0,0,pimento
368,Iraq,88,16.383520512346877,0,0,0,0,pimento
512,Oman,89,0,0,0,0,0,pimento
548,Vanuatu,90,0,0,0,0,0,pimento
116,Cambodia,91,9739.866930425167,0,0,0,0,pimento
764,Thailand,92,36340.67113958299,0,0,0,0,pimento
418,Laos,93,4083.558720946545,0,0,0,0,pimento
104,Myanmar,94,50154.56734011695,0,0,0,0,pimento
704,Vietnam,95,69893.73540498316,0,0,0,0,pimento
408,North Korea,96,61.34484092891216,0,0,0,0,pimento
410,South Korea,97,0,0,0,0,0,pimento
496,Mongolia,98,3.1488857664517127,0,0,0,0,pimento
356,India,99,992250.2501674956,0,0,0,0,pimento
050,Bangladesh,100,106313.62909686565,0,0,0,0,pimento
064,Bhutan,101,1764.1806923742406,0,0,0,0,pimento
524,Nepal,102,13135.636359544078,0,0,0,0,pimento
586,Pakistan,103,120264.47917480487,0,0,0,0,pimento
004,Afghanistan,104,144.33917328342795,0,0,0,0,pimento
762,Tajikistan,105,29.28894259314984,0,0,0,0,pimento
417,Kyrgyzstan,106,177.32558966288343,0,0,0,0,pimento
795,Turkmenistan,107,18.304648329038173,0,0,0,0,pimento
364,Iran,108,2453.98594391346,0,0,0,0,pimento
760,Syria,109,68.60915383897373,0,0,0,0,pimento
051,Armenia,110,7.534852162003517,0,0,0,0,pimento
752,Sweden,111,0,0,0,0,0,pimento
112,Belarus,112,0,0,0,0,0,pimento
804,Ukraine,113,283.92658680677414,0,0,0,0,pimento
616,Poland,114,21.36273253709078,0,0,0,0,pimento
040,Austria,115,95.29993562400341,0,0,0,0,pimento
348,Hungary,116,46942.171846807,0,0,0,0,pimento
498,Moldova,117,149.35851192474365,0,0,0,0,pimento
642,Romania,118,28891.266373615712,0,0,0,0,pimento
440,Lithuania,119,0,0,0,0,0,pimento
428,Latvia,120,0,0,0,0,0,pimento
233,Estonia,121,0,0,0,0,0,pimento
276,Germany,122,4.205929085612297,0,0,0,0,pimento
100,Bulgaria,123,553.2845554472879,0,0,0,0,pimento
300,Greece,124,255.41872108794632,0,0,0,0,pimento
792,Turkey,125,16785.22010008106,0,0,0,0,pimento
008,Albania,126,2.7471865713596344,0,0,0,0,pimento
191,Croatia,127,2360.546580672264,0,0,0,0,pimento
756,Switzerland,128,0,0,0,0,0,pimento
442,Luxembourg,129,0,0,0,0,0,pimento
056,Belgium,130,0,0,0,0,0,pimento
528,Netherlands,131,0,0,0,0,0,pimento
620,Portugal,132,4.769488733261824,0,0,0,0,pimento
724,Spain,133,10262.752416894305,0,0,0,0,pimento
372,Ireland,134,0,0,0,0,0,pimento
540,France,135,0,0,0,0,0,pimento
090,Solomon Islands,136,0,0,0,0,0,pimento
554,New Zealand,137,0,0,0,0,0,pimento
036,Australia,138,0,0,0,0,0,pimento
144,Sri Lanka,139,0,0,0,0,0,pimento
156,China,140,209332.47724057402,0,0,0,0,pimento
158,Taiwan,141,0,0,0,0,0,pimento
380,Italy,142,122.63660376518965,0,0,0,0,pimento
208,Denmark,143,0,0,0,0,0,pimento
826,United Kingdom,144,0,0,0,0,0,pimento
352,Iceland,145,0,0,0,0,0,pimento
031,Azerbaijan,146,38.68030706420541,0,0,0,0,pimento
268,Georgia,147,4.941942811012268,0,0,0,0,pimento
608,Philippines,148,0,0,0,0,0,pimento
458,Malaysia,149,1753.967811395647,0,0,0,0,pimento
096,Brunei,150,3.8868870809674263,0,0,0,0,pimento
705,Slovenia,151,1174.9378399252892,0,0,0,0,pimento
246,Finland,152,0,0,0,0,0,pimento
703,Slovakia,153,111.86678278446198,0,0,0,0,pimento
203,Czechia,154,2894.6779712177813,0,0,0,0,pimento
232,Eritrea,155,39.511079881340265,0,0,0,0,pimento
392,Japan,156,0,0,0,0,0,pimento
600,Paraguay,157,1.2631043430192221,0,0,0,0,pimento
887,Yemen,158,0,0,0,0,0,pimento
682,Saudi Arabia,159,0,0,0,0,0,pimento
010,Antarctica,160,0,0,0,0,0,pimento
-99,Northern Cyprus,161,0,0,0,0,0,pimento
196,Cyprus,162,0,0,0,0,0,pimento
504,Morocco,163,12304.861512362957,0,0,0,0,pimento
818,Egypt,164,43643.43810030073,0,0,0,0,pimento
434,Libya,165,0,0,0,0,0,pimento
231,Ethiopia,166,105724.5602607932,0,0,0,0,pimento
262,Djibouti,167,56.090463280677795,0,0,0,0,pimento
-99,Somaliland,168,63.78579103946686,0,0,0,0,pimento
800,Uganda,169,3769.066224621609,0,0,0,0,pimento
646,Rwanda,170,10.851959466934204,0,0,0,0,pimento
070,Bosnia and Herzegovina,171,32115.011319443583,0,0,0,0,pimento
807,North Macedonia,172,0.43929782323539257,0,0,0,0,pimento
688,Republic of Serbia,173,5118.505439155735,0,0,0,0,pimento
499,Montenegro,174,609.8445052281022,0,0,0,0,pimento
-99,Kosovo,175,638.6829093694687,0,0,0,0,pimento
780,Trinidad and Tobago,176,0,0,0,0,0,pimento
728,South Sudan,177,2298.8303256947547,0,0,0,0,pimento
