ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,fonio
834,United Republic of Tanzania,2,0,0,0,0,0,fonio
732,Western Sahara,3,0,0,0,0,0,fonio
124,Canada,4,2783.9907336187216,0,0,0,0,fonio
840,United States of America,5,27483.025365558628,0,0,0,0,fonio
398,Kazakhstan,6,19627.818120814103,0,0,0,0,fonio
860,Uzbekistan,7,119.70485158497468,0,0,0,0,fonio
598,Papua New Guinea,8,0,0,0,0,0,fonio
360,Indonesia,9,0,0,0,0,0,fonio
032,Argentina,10,11.011034995317459,0,0,0,0,fonio
152,Chile,11,2.3412241712212563,0,0,0,0,fonio
180,Democratic Republic of the Congo,12,0,0,0,0,0,fonio
706,Somalia,13,0,0,0,0,0,fonio
404,Kenya,14,0,0,0,0,0,fonio
729,Sudan,15,0,0,0,0,0,fonio
148,Chad,16,0,0,0,0,0,fonio
332,Haiti,17,0,0,0,0,0,fonio
214,Dominican Republic,18,0,0,0,0,0,fonio
643,Russia,19,12088.39873373056,0,0,0,0,fonio
044,The Bahamas,20,0,0,0,0,0,fonio
238,United Kingdom,21,0,0,0,0,0,fonio
578,Norway,22,0,0,0,0,0,fonio
304,Denmark,23,0,0,0,0,0,fonio
260,France,24,0,0,0,0,0,fonio
626,East Timor,25,0,0,0,0,0,fonio
710,South Africa,26,0,0,0,0,0,fonio
426,Lesotho,27,0,0,0,0,0,fonio
484,Mexico,28,4.639690313459141,0,0,0,0,fonio
858,Uruguay,29,0,0,0,0,0,fonio
076,Brazil,30,57.071561734133866,0,0,0,0,fonio
068,Bolivia,31,37239.80664922204,0,0,0,0,fonio
604,Peru,32,27886.177471614443,0,0,0,0,fonio
170,Colombia,33,8.030006268996658,0,0,0,0,fonio
591,Panama,34,0,0,0,0,0,fonio
188,Costa Rica,35,0,0,0,0,0,fonio
558,Nicaragua,36,0,0,0,0,0,fonio
340,Honduras,37,0,0,0,0,0,fonio
222,El Salvador,38,0,0,0,0,0,fonio
320,Guatemala,39,0,0,0,0,0,fonio
084,Belize,40,0,0,0,0,0,fonio
862,Venezuela,41,0,0,0,0,0,fonio
328,Guyana,42,0,0,0,0,0,fonio
740,Suriname,43,0,0,0,0,0,fonio
250,France,44,17815.963685231283,0,0,0,0,fonio
218,Ecuador,45,1155.2527170445555,0,0,0,0,fonio
630,United States of America,46,0,0,0,0,0,fonio
388,Jamaica,47,0,0,0,0,0,fonio
192,Cuba,48,0,0,0,0,0,fonio
716,Zimbabwe,49,0,0,0,0,0,fonio
072,Botswana,50,0,0,0,0,0,fonio
516,Namibia,51,0,0,0,0,0,fonio
