ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,canaryseed
834,United Republic of Tanzania,2,0,0,0,0,0,canaryseed
732,Western Sahara,3,0,0,0,0,0,canaryseed
124,Canada,4,171530.271481189,224700.00000000244,871836000000.0094,13482000000.000145,35952000000.00039,canaryseed
840,United States of America,5,0.09967314577806974,0,0,0,0,canaryseed
398,Kazakhstan,6,0,0,0,0,0,canaryseed
860,Uzbekistan,7,0,0,0,0,0,canaryseed
598,Papua New Guinea,8,0,0,0,0,0,canaryseed
360,Indonesia,9,0,0,0,0,0,canaryseed
032,Argentina,10,19351.570709532076,20543.999999999996,79710719999.99998,1232639999.9999998,3287039999.9999995,canaryseed
152,Chile,11,0,0,0,0,0,canaryseed
180,Democratic Republic of the Congo,12,0,0,0,0,0,canaryseed
706,Somalia,13,0,0,0,0,0,canaryseed
404,Kenya,14,0,0,0,0,0,canaryseed
729,Sudan,15,0,0,0,0,0,canaryseed
148,Chad,16,0,0,0,0,0,canaryseed
332,Haiti,17,0,0,0,0,0,canaryseed
214,Dominican Republic,18,0,0,0,0,0,canaryseed
643,Russia,19,0,0,0,0,0,canaryseed
044,The Bahamas,20,0,0,0,0,0,canaryseed
238,United Kingdom,21,0,0,0,0,0,canaryseed
578,Norway,22,0,0,0,0,0,canaryseed
304,Denmark,23,0,0,0,0,0,canaryseed
260,France,24,0,0,0,0,0,canaryseed
626,East Timor,25,0,0,0,0,0,canaryseed
710,South Africa,26,0,0,0,0,0,canaryseed
426,Lesotho,27,0,0,0,0,0,canaryseed
484,Mexico,28,719.8507256017765,2.4499999999999984,9505999.999999994,146999.9999999999,391999.99999999977,canaryseed
858,Uruguay,29,2362.34884998342,3766.91,14615610800,226014600,602705600,canaryseed
076,Brazil,30,21.047442264854908,0,0,0,0,canaryseed
068,Bolivia,31,0,0,0,0,0,canaryseed
604,Peru,32,0,0,0,0,0,canaryseed
170,Colombia,33,0,0,0,0,0,canaryseed
591,Panama,34,0,0,0,0,0,canaryseed
