ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,pistachio
834,United Republic of Tanzania,2,0,0,0,0,0,pistachio
732,Western Sahara,3,0,0,0,0,0,pistachio
124,Canada,4,0,0,0,0,0,pistachio
840,United States of America,5,85529.10048074966,473999.9999999983,1369859999999.995,114707999999.99959,48821999999.999825,pistachio
398,Kazakhstan,6,13.438498942414299,0,0,0,0,pistachio
860,Uzbekistan,7,988.9434950166033,299.9999999999993,866999999.999998,72599999.99999984,30899999.99999993,pistachio
598,Papua New Guinea,8,0,0,0,0,0,pistachio
360,Indonesia,9,0,0,0,0,0,pistachio
032,Argentina,10,0,0,0,0,0,pistachio
152,Chile,11,0,0,0,0,0,pistachio
180,Democratic Republic of the Congo,12,0,0,0,0,0,pistachio
706,Somalia,13,0,0,0,0,0,pistachio
404,Kenya,14,0,0,0,0,0,pistachio
729,Sudan,15,0,0,0,0,0,pistachio
148,Chad,16,0,0,0,0,0,pistachio
332,Haiti,17,0,0,0,0,0,pistachio
214,Dominican Republic,18,0,0,0,0,0,pistachio
643,Russia,19,12.58580521447584,0,0,0,0,pistachio
044,The Bahamas,20,0,0,0,0,0,pistachio
238,United Kingdom,21,0,0,0,0,0,pistachio
578,Norway,22,0,0,0,0,0,pistachio
304,Denmark,23,0,0,0,0,0,pistachio
260,France,24,0,0,0,0,0,pistachio
626,East Timor,25,0,0,0,0,0,pistachio
710,South Africa,26,0,0,0,0,0,pistachio
426,Lesotho,27,0,0,0,0,0,pistachio
484,Mexico,28,25.275340360474086,104.41000000000001,301744900.00000006,25267220.000000004,10754230.000000002,pistachio
858,Uruguay,29,0,0,0,0,0,pistachio
076,Brazil,30,0,0,0,0,0,pistachio
068,Bolivia,31,0,0,0,0,0,pistachio
604,Peru,32,0,0,0,0,0,pistachio
170,Colombia,33,0,0,0,0,0,pistachio
591,Panama,34,0,0,0,0,0,pistachio
188,Costa Rica,35,0,0,0,0,0,pistachio
558,Nicaragua,36,0,0,0,0,0,pistachio
340,Honduras,37,0,0,0,0,0,pistachio
222,El Salvador,38,0,0,0,0,0,pistachio
320,Guatemala,39,0,0,0,0,0,pistachio
084,Belize,40,0,0,0,0,0,pistachio
862,Venezuela,41,0,0,0,0,0,pistachio
328,Guyana,42,0,0,0,0,0,pistachio
740,Suriname,43,0,0,0,0,0,pistachio
250,France,44,0.07398444134742022,0,0,0,0,pistachio
218,Ecuador,45,0,0,0,0,0,pistachio
630,United States of America,46,0,0,0,0,0,pistachio
388,Jamaica,47,0,0,0,0,0,pistachio
192,Cuba,48,0,0,0,0,0,pistachio
716,Zimbabwe,49,0,0,0,0,0,pistachio
072,Botswana,50,0,0,0,0,0,pistachio
516,Namibia,51,0,0,0,0,0,pistachio
686,Senegal,52,0,0,0,0,0,pistachio
466,Mali,53,0,0,0,0,0,pistachio
478,Mauritania,54,0,0,0,0,0,pistachio
204,Benin,55,0,0,0,0,0,pistachio
562,Niger,56,0,0,0,0,0,pistachio
566,Nigeria,57,0,0,0,0,0,pistachio
120,Cameroon,58,0,0,0,0,0,pistachio
768,Togo,59,0,0,0,0,0,pistachio
288,Ghana,60,0,0,0,0,0,pistachio
384,Ivory Coast,61,0,0,0,0,0,pistachio
324,Guinea,62,0,0,0,0,0,pistachio
624,Guinea-Bissau,63,0,0,0,0,0,pistachio
430,Liberia,64,0,0,0,0,0,pistachio
694,Sierra Leone,65,0,0,0,0,0,pistachio
854,Burkina Faso,66,0,0,0,0,0,pistachio
140,Central African Republic,67,0,0,0,0,0,pistachio
178,Republic of the Congo,68,0,0,0,0,0,pistachio
266,Gabon,69,0,0,0,0,0,pistachio
226,Equatorial Guinea,70,0,0,0,0,0,pistachio
894,Zambia,71,0,0,0,0,0,pistachio
454,Malawi,72,0,0,0,0,0,pistachio
508,Mozambique,73,0,0,0,0,0,pistachio
748,eSwatini,74,0,0,0,0,0,pistachio
024,Angola,75,0,0,0,0,0,pistachio
108,Burundi,76,0,0,0,0,0,pistachio
376,Israel,77,605.5781707763672,0,0,0,0,pistachio
422,Lebanon,78,172.56597423553467,0,0,0,0,pistachio
450,Madagascar,79,197.21704374526598,5851.660000000002,16911297400.000004,1416101720.0000002,602720980.0000002,pistachio
275,Israel,80,0,0,0,0,0,pistachio
270,Gambia,81,0,0,0,0,0,pistachio
788,Tunisia,82,167.95357857644558,3167.629999999999,9154450699.999998,766566459.9999998,326265889.99999994,pistachio
012,Algeria,83,0.3772403821349144,0,0,0,0,pistachio
400,Jordan,84,6.3235931396484375,599,1731110000,144958000,61697000.00000001,pistachio
784,United Arab Emirates,85,0,0,0,0,0,pistachio
634,Qatar,86,0,0,0,0,0,pistachio
414,Kuwait,87,0,0,0,0,0,pistachio
368,Iraq,88,124.61617624945939,0,0,0,0,pistachio
512,Oman,89,0,0,0,0,0,pistachio
548,Vanuatu,90,0,0,0,0,0,pistachio
116,Cambodia,91,0,0,0,0,0,pistachio
