num,totalcells,layer,SOVEREIGNT,ADMIN,ADM0_A3,ISO_N3,year,commercial_group,totaltonne,calories,proteins,fats
1,168,0.005952380952380952,Fiji,Fiji,FJI,242,NA,NA,0,0,0,0
2,346,0.002890173410404624,Gabon,Gabon,GAB,266,2019,Scorpionfishes,0.03293432534682081,33922.355107225434,6059.915863815028,889.2267843641619
3,55,0.01818181818181818,Republic of the Congo,Republic of the Congo,COG,178,NA,NA,0,0,0,0
4,70,0.014285714285714285,Equatorial Guinea,Equatorial Guinea,GNQ,226,NA,NA,0,0,0,0
5,180,0.005555555555555556,Liberia,Liberia,LBR,430,2019,Scorpionfishes,0.15514533894444446,159799.6991127778,28546.74236577778,4188.924151500001
6,183,0.00546448087431694,Cameroon,Cameroon,CMR,120,NA,NA,0,0,0,0
7,237,0.004219409282700422,Ivory Coast,Ivory Coast,CIV,384,2019,Scorpionfishes,0.2664753092405063,274469.5685177215,49031.45690025316,7194.83334949367
8,171,0.005847953216374269,Ghana,Ghana,GHA,288,2019,Scorpionfishes,0.706374269005848,727565.4970760235,129972.86549707601,19072.105263157897
9,171,0.005847953216374269,Sierra Leone,Sierra Leone,SLE,694,NA,NA,0,0,0,0
10,190,0.005263157894736842,United Kingdom,Falkland Islands,FLK,238,NA,NA,0,0,0,0
11,2082,4.803073967339097e-4,Argentina,Argentina,ARG,032,NA,NA,0,0,0,0
12,4369,2.2888532845044633e-4,Chile,Chile,CHL,152,2019,Scorpionfishes,2.7603006408789197,2843109.660105287,507895.3179217212,74528.11730373083
13,306,0.0032679738562091504,Uruguay,Uruguay,URY,858,NA,NA,0,0,0,0
14,3559,2.809778027535825e-4,Brazil,Brazil,BRA,076,2019,Scorpionfishes,0.03508515352627143,36137.708132059575,6455.668248833942,947.2991452093287
15,813,0.0012300123001230013,Peru,Peru,PER,604,2019,Scorpionfishes,0.7643104558425585,787239.7695178352,140633.12387503075,20636.38230774908
16,340,0.0029411764705882353,Ecuador,Ecuador,ECU,218,2019,Scorpionfishes,28.830685952941177,29695606.53152941,5304846.215341177,778428.5207294119
17,166,0.006024096385542169,Suriname,Suriname,SUR,740,NA,NA,0,0,0,0
18,759,0.0013175230566534915,Colombia,Colombia,COL,170,NA,NA,0,0,0,0
19,203,0.0049261083743842365,Guyana,Guyana,GUY,328,2019,Scorpionfishes,1.7600187029556649,1812819.2640443349,323843.4413438423,47520.50497980296
20,937,0.0010672358591248667,Venezuela,Venezuela,VEN,862,NA,NA,0,0,0,0
21,665,0.0015037593984962407,Panama,Panama,PAN,591,NA,NA,0,0,0,0
22,311,0.003215434083601286,Costa Rica,Costa Rica,CRI,188,NA,NA,0,0,0,0
23,61,0.01639344262295082,Trinidad and Tobago,Trinidad and Tobago,TTO,780,NA,NA,0,0,0,0
24,197,0.005076142131979695,Guinea-Bissau,Guinea-Bissau,GNB,624,2019,Scorpionfishes,4.938647755837563,5086807.188512689,908711.1870741114,133343.48940761422
25,314,0.0031847133757961785,Nicaragua,Nicaragua,NIC,558,NA,NA,0,0,0,0
26,83,0.012048192771084338,Gambia,Gambia,GMB,270,2019,Scorpionfishes,0.6990708431325301,720042.968426506,128629.03513638553,18874.912764578312
27,109,0.009174311926605505,El Salvador,El Salvador,SLV,222,2019,Scorpionfishes,0.09166358055963303,94413.48797642202,16866.098822972475,2474.916675110092
28,34,0.029411764705882353,Togo,Togo,TGO,768,2019,Scorpionfishes,0.14106115511764705,145292.98977117645,25955.252541647056,3808.6511881764704
29,410,0.0024390243902439024,Nigeria,Nigeria,NGA,566,2019,Scorpionfishes,19.69617073170732,20287055.85365854,3624095.4146341467,531796.6097560977
30,35,0.02857142857142857,Benin,Benin,BEN,204,NA,NA,0,0,0,0
31,178,0.0056179775280898875,Guinea,Guinea,GIN,324,2019,Scorpionfishes,0.40553597112359546,417702.05025730334,74618.61868674155,10949.47122033708
32,232,0.004310344827586207,Mauritania,Mauritania,MRT,478,2019,Scorpionfishes,2.973964431034483,3063183.3639655174,547209.4553103448,80297.03963793104
33,9,0.1111111111111111,Western Sahara,Western Sahara,SAH,732,NA,NA,0,0,0,0
34,452,0.0022123893805309734,Algeria,Algeria,DZA,012,2019,Scorpionfishes,10.455678537610618,10769348.893738937,1923844.8509203536,282303.3205154867
35,322,0.003105590062111801,Senegal,Senegal,SEN,686,2019,Scorpionfishes,1.7523732114906831,1804944.4078354037,322436.6709142857,47314.076710248446
36,283,0.0035335689045936395,Honduras,Honduras,HND,340,NA,NA,0,0,0,0
37,127,0.007874015748031496,Guatemala,Guatemala,GTM,320,NA,NA,0,0,0,0
38,126,0.007936507936507936,Belize,Belize,BLZ,084,NA,NA,0,0,0,0
39,126,0.007936507936507936,Jamaica,Jamaica,JAM,388,NA,NA,0,0,0,0
40,101,0.009900990099009901,United States of America,Puerto Rico,PRI,630,NA,NA,0,0,0,0
41,317,0.0031545741324921135,Dominican Republic,Dominican Republic,DOM,214,2019,Scorpionfishes,0.03924914293375394,40426.61722176656,7221.842299810724,1059.7268592113564
42,246,0.0040650406504065045,Haiti,Haiti,HTI,332,NA,NA,0,0,0,0
43,1082,9.242144177449168e-4,Cuba,Cuba,CUB,192,NA,NA,0,0,0,0
44,3508,2.8506271379703536e-4,Mexico,Mexico,MEX,484,2019,Scorpionfishes,1.6517613172748005,1701314.1567930444,303924.08237856324,44597.555566419614
45,612,0.0016339869281045752,Libya,Libya,LBY,434,2019,Scorpionfishes,0.5158090712418301,531283.343379085,94908.86910849673,13926.844923529414
46,879,0.0011376564277588168,Greece,Greece,GRC,300,2019,Scorpionfishes,0.8838254103412968,910340.1726515356,162623.87550279862,23863.286079215013
47,154,0.006493506493506494,Albania,Albania,ALB,008,NA,NA,0,0,0,0
48,49,0.02040816326530612,Montenegro,Montenegro,MNE,499,2019,Scorpionfishes,0.11586383883673468,119339.75400183671,21318.94634595918,3128.3236485918364
49,116,0.008620689655172414,Bulgaria,Bulgaria,BGR,100,NA,NA,0,0,0,0
50,943,0.0010604453870625664,Morocco,Morocco,MAR,504,2019,Scorpionfishes,5.613049129586426,5781440.603474019,1032801.0398439023,151552.3264988335
51,354,0.002824858757062147,Tunisia,Tunisia,TUN,788,2019,Scorpionfishes,3.0600445338983056,3151845.8699152544,563048.1942372882,82621.20241525424
52,396,0.0025252525252525255,Portugal,Portugal,PRT,620,2019,Scorpionfishes,1.7994635702020203,1853447.4773080808,331101.2969171717,48585.51639545455
53,1038,9.633911368015414e-4,Spain,Spain,ESP,724,2019,Scorpionfishes,3.327897678709056,3427734.609070328,612333.1728824663,89853.23732514452
54,1273,7.855459544383347e-4,Italy,Italy,ITA,380,2019,Scorpionfishes,2.369614006284368,2440702.426472899,436008.97715632373,63979.57816967794
55,24,0.041666666666666664,Slovenia,Slovenia,SVN,705,2019,Scorpionfishes,0.10997396166666668,113273.18051666667,20235.208946666666,2969.2969650000005
56,87,0.011494252873563218,Belgium,Belgium,BEL,056,2019,Scorpionfishes,6.8925825666666665,7099360.043666666,1268235.1922666666,186099.7293
