num,totalcells,layer,SOVEREIGNT,ADMIN,ADM0_A3,ISO_N3,year,commercial_group,totaltonne,calories,proteins,fats
1,168,0.005952380952380952,Fiji,Fiji,FJI,242,NA,NA,0,0,0,0
2,346,0.002890173410404624,Gabon,Gabon,GAB,266,2019,Flatfishes,1.502885697398844,1052019.9881791908,180346.28368786132,28554.828250578037
3,55,0.01818181818181818,Republic of the Congo,Republic of the Congo,COG,178,2019,Flatfishes,0.3909023347272727,273631.6343090909,46908.28016727273,7427.14435981818
4,70,0.014285714285714285,Equatorial Guinea,Equatorial Guinea,GNQ,226,2019,Flatfishes,2.3541118285714284,1647878.2799999998,282493.4194285714,44728.12474285714
5,180,0.005555555555555556,Liberia,Liberia,LBR,430,2019,Flatfishes,6.426148188888889,4498303.732222223,771137.7826666667,122096.81558888889
6,183,0.00546448087431694,Cameroon,Cameroon,CMR,120,2019,Flatfishes,0.25902457530054646,181317.20271038252,31082.949036065576,4921.466930710382
7,237,0.004219409282700422,Ivory Coast,Ivory Coast,CIV,384,2019,Flatfishes,0.3352076138396624,234645.32968776367,40224.913660759485,6368.944662953585
8,171,0.005847953216374269,Ghana,Ghana,GHA,288,2019,Flatfishes,3.7747953216374266,2642356.7251461986,452975.4385964912,71721.1111111111
9,171,0.005847953216374269,Sierra Leone,Sierra Leone,SLE,694,NA,NA,0,0,0,0
10,190,0.005263157894736842,United Kingdom,Falkland Islands,FLK,238,NA,NA,0,0,0,0
11,2082,4.803073967339097e-4,Argentina,Argentina,ARG,032,NA,NA,0,0,0,0
12,4369,2.2888532845044633e-4,Chile,Chile,CHL,152,2019,Flatfishes,0.001139733057907988,797.8131405355916,136.7679669489586,21.654928100251773
13,306,0.0032679738562091504,Uruguay,Uruguay,URY,858,NA,NA,0,0,0,0
14,3559,2.809778027535825e-4,Brazil,Brazil,BRA,076,2019,Flatfishes,0.2724297602697387,190700.8321888171,32691.571232368642,5176.165445125035
15,813,0.0012300123001230013,Peru,Peru,PER,604,2019,Flatfishes,1.5913515547355475,1113946.0883148832,190962.1865682657,30235.6795399754
16,340,0.0029411764705882353,Ecuador,Ecuador,ECU,218,2019,Flatfishes,0.7226376197058824,505846.3337941176,86716.51436470589,13730.114774411764
17,166,0.006024096385542169,Suriname,Suriname,SUR,740,2019,Flatfishes,1.3318234813253014,932276.436927711,159818.81775903617,25304.646145180726
18,759,0.0013175230566534915,Colombia,Colombia,COL,170,2019,Flatfishes,0.1870948163372859,130966.37143610012,22451.377960474307,3554.801510408432
19,203,0.0049261083743842365,Guyana,Guyana,GUY,328,2019,Flatfishes,2.239367520197044,1567557.264137931,268724.1024236453,42547.98288374384
20,937,0.0010672358591248667,Venezuela,Venezuela,VEN,862,2019,Flatfishes,0.03489034226254003,24423.23958377802,4186.841071504803,662.9165029882605
21,665,0.0015037593984962407,Panama,Panama,PAN,591,2019,Flatfishes,0.17876842105263158,125137.8947368421,21452.21052631579,3396.5999999999995
22,311,0.003215434083601286,Costa Rica,Costa Rica,CRI,188,NA,NA,0,0,0,0
23,61,0.01639344262295082,Trinidad and Tobago,Trinidad and Tobago,TTO,780,2019,Flatfishes,0.014779203508196722,10345.442455737706,1773.5044209836065,280.8048666557377
24,197,0.005076142131979695,Guinea-Bissau,Guinea-Bissau,GNB,624,2019,Flatfishes,35.75731201015228,25030118.407106597,4290877.441218275,679388.9281928934
25,314,0.0031847133757961785,Nicaragua,Nicaragua,NIC,558,2019,Flatfishes,1.524129075477707,1066890.352834395,182895.48905732486,28958.452434076433
